weather system,date,heightAboveMSL,Regions,subdivisions
Upper-Level Cyclonic Circulation,2024-10-06,1.5 km to 5.8 km,SW Bay ; WC Bay ; Tamil Nadu & Puducherry ; Coastal Andhra Pradesh,SW Bay ; WC Bay ; Tamil Nadu & Puducherry ; Coastal Andhra Pradesh
Trough,2024-10-06,0.9 km,SE Arabian Sea ; Rayalaseema ; Kerala ; South Interior Karnataka,SE Arabian Sea ; Rayalaseema ; Kerala ; South Interior Karnataka
Cyclonic Circulation (CYCIR),2024-10-06,1.5 km to 3.1 km,North pakistan ; Punjab,North pakistan ; Punjab
Western Disturbances (WD),2024-10-06,5.8 km,North Pakistan,North Pakistan
Cyclonic Circulation (CYCIR),2024-10-07,1.5 km,Kerala,Kerala
Trough,2024-10-07,1.5 km,SW Bay ; Lakshadweep ; Tamil Nadu & Puducherry ; Kerala,SW Bay ; Lakshadweep ; Tamil Nadu & Puducherry ; Kerala
Cyclonic Circulation (CYCIR),2024-10-07,1.5 km,Bangladesh ; Assam & Meghalaya,Bangladesh ; Assam & Meghalaya
Western Disturbances (WD),2024-10-07,5.8 km,Southwest Pakistan ; West Pakistan,Southwest Pakistan ; West Pakistan
Cyclonic Circulation (CYCIR),2024-10-08,5.8 km,Lakshadweep ; SE Arabian Sea,Lakshadweep ; SE Arabian Sea
Trough,2024-10-08,1.5 km,Tamil Nadu & Puducherry ; Kerala ; Lakshadweep ; SE Arabian Sea,Tamil Nadu & Puducherry ; Kerala ; Lakshadweep ; SE Arabian Sea
Western Disturbances (WD),2024-10-08,1.5 km to 7.6 km,west Afghanistan & neighbourhood,Far West Pakistan
Low Pressure (L) with associated CYCIR,2024-10-09,5.8 km,Lakshadweep ; SE Arabian Sea ; EC Arabian Sea,Lakshadweep ; SE Arabian Sea ; EC Arabian Sea
Trough,2024-10-09,1.5 km,Comorin Area ; Konkan & Goa,Comorin Area ; Konkan & Goa
Cyclonic Circulation (CYCIR),2024-10-09,5.8 km,Sri Lanka & neighbourhood,SW Bay ; Comorin Area
Western Disturbances (WD),2024-10-09,3.1 km to 7.6 km,east Afghanistan & neighbourhood,Far West Pakistan
Cyclonic Circulation (CYCIR),2024-10-09,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Well Marked Low Pressure Area (WML) with associated CYCIR,2024-10-10,5.8 km,EC Arabian Sea ; Konkan & Goa,EC Arabian Sea ; Konkan & Goa
Cyclonic Circulation (CYCIR),2024-10-10,4.5 km,SW Bay ; Tamil Nadu & Puducherry,SW Bay ; Tamil Nadu & Puducherry
Western Disturbances (WD),2024-10-10,3.1 km,Jammu & Kashmir ; Pakistan,Jammu & Kashmir ; Pakistan
Cyclonic Circulation (CYCIR),2024-10-10,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Well Marked Low Pressure Area (WML) with associated CYCIR,2024-10-11,5.8 km,EC Arabian Sea,EC Arabian Sea
Upper-Level Cyclonic Circulation,2024-10-11,1.5 km,Tamil Nadu & Puducherry,Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,2024-10-11,0.9 km,Assam & Meghalaya,Assam & Meghalaya
Upper-Level Cyclonic Circulation,2024-10-11,3.1 km,SW Bay ; SE Bay,SW Bay ; SE Bay
Well Marked Low Pressure Area (WML) with associated CYCIR,2024-10-12,5.8 km,EC Arabian Sea,EC Arabian Sea
Trough,2024-10-12,1.5 km,EC Arabian Sea ; Coastal Karnataka ; Tamil Nadu & Puducherry,EC Arabian Sea ; Coastal Karnataka ; Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,2024-10-12,1.5 km,Tamil Nadu & Puducherry,Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2024-10-12,5.8 km,SE Bay,SE Bay
Upper-Level Cyclonic Circulation,2024-10-12,3.1 km,SW Bay,SW Bay
Upper-Level Cyclonic Circulation,2024-10-12,0.9 km,Assam & Meghalaya,Assam & Meghalaya
Well Marked Low Pressure Area (WML) with associated CYCIR,2024-10-13,5.8 km,EC Arabian Sea ; WC Arabian Sea,EC Arabian Sea ; WC Arabian Sea
Upper-Level Cyclonic Circulation,2024-10-13,3.1 km,Tamil Nadu & Puducherry,Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2024-10-13,5.8 km,SE Bay,SE Bay
Upper-Level Cyclonic Circulation,2024-10-13,3.1 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-10-13,3.1 km,West Uttar Pradesh,West Uttar Pradesh
Trough,2024-10-14,3.1 km to 5.8 km,WC Arabian Sea ; Comorin Area ; Kerala,WC Arabian Sea ; Comorin Area ; Kerala
Cyclonic Circulation (CYCIR),2024-10-14,3.1 km to 5.8 km,Tamil Nadu & Puducherry,Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,2024-10-14,1.5 km to 3.1 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-10-14,5.8 km,WC Bay ; Coastal Andhra Pradesh,WC Bay ; Coastal Andhra Pradesh
Cyclonic Circulation (CYCIR),2024-10-15,5.8 km,WC Bay ; Coastal Andhra Pradesh,WC Bay ; Coastal Andhra Pradesh
Cyclonic Circulation (CYCIR),2024-10-15,0.9 km,Bangladesh,Bangladesh
Cyclonic Circulation (CYCIR),2024-10-15,0.9 km,Sub-Himalayan West Bengal & Sikkim,Sub-Himalayan West Bengal & Sikkim
Cyclonic Circulation (CYCIR),2024-10-16,0.9 km,Bangladesh ; Sub-Himalayan West Bengal & Sikkim,Bangladesh ; Sub-Himalayan West Bengal & Sikkim
Cyclonic Circulation (CYCIR),2024-10-16,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Well Marked Low Pressure Area (WML) with associated CYCIR,2024-10-17,5.8 km,Coastal Andhra Pradesh ; Tamil Nadu & Puducherry,Coastal Andhra Pradesh ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2024-10-17,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Westerly Trough,2024-10-17,3.1 km,roughly along longitude 93° E to the north of latitude 25° N,"Assam & Meghalaya ; Nagaland, Manipur, Mizoram & Tripura ; Arunachal Pradesh"
Cyclonic Circulation (CYCIR),2024-10-17,5.8 km,Lakshadweep,Lakshadweep
Cyclonic Circulation (CYCIR),2024-10-18,5.8 km,EC Arabian Sea,EC Arabian Sea
Cyclonic Circulation (CYCIR),2024-10-18,1.5 km to 4.5 km,Assam & Meghalaya,Assam & Meghalaya
Trough,2024-10-18,3.1 km,along longitude 93° E to the north of latitude 25° N,"Assam & Meghalaya ; Nagaland, Manipur, Mizoram & Tripura ; Arunachal Pradesh"
Trough,2024-10-18,3.1 km,EC Arabian Sea ; Coastal Andhra Pradesh ; Rayalaseema ; Coastal Karnataka ; North Interior Karnataka ; South Interior Karnataka,EC Arabian Sea ; Coastal Andhra Pradesh ; Rayalaseema ; Coastal Karnataka ; North Interior Karnataka ; South Interior Karnataka
Well Marked Low Pressure Area (WML) with associated CYCIR,2024-10-19,5.8 km,EC Arabian Sea ; WC Arabian Sea,EC Arabian Sea ; WC Arabian Sea
Cyclonic Circulation (CYCIR),2024-10-19,5.8 km,SW Bay ; WC Bay ; Tamil Nadu & Puducherry ; Coastal Andhra Pradesh,SW Bay ; WC Bay ; Tamil Nadu & Puducherry ; Coastal Andhra Pradesh
Cyclonic Circulation (CYCIR),2024-10-19,5.8 km,N Andaman Sea ; S Andaman Sea,N Andaman Sea ; S Andaman Sea
Cyclonic Circulation (CYCIR),2024-10-19,5.8 km,Gulf of Thailand,Gulf of Thailand
Cyclonic Circulation (CYCIR),2024-10-19,0.9 km,Assam & Meghalaya,Assam & Meghalaya
Trough,2024-10-19,3.1 km,Assam & Meghalaya ; Bangladesh ; Nagaland-Manipur-Mizoram-Tripura ; Sub-Himalayan West Bengal & Sikkim ; Gangetic West Bengal,Assam & Meghalaya ; Bangladesh ; Nagaland-Manipur-Mizoram-Tripura ; Sub-Himalayan West Bengal & Sikkim ; Gangetic West Bengal
Low Pressure (L) with associated CYCIR,2024-10-20,5.8 km,WC Arabian Sea,WC Arabian Sea
Upper-Level Cyclonic Circulation,2024-10-20,5.8 km,SW Bay ; WC Bay ; Coastal Andhra Pradesh ; Tamil Nadu & Puducherry,SW Bay ; WC Bay ; Coastal Andhra Pradesh ; Tamil Nadu & Puducherry
Westerly Trough,2024-10-20,3.1 km,Nagaland-Manipur-Mizoram-Tripura ; Assam & Meghalaya ; Arunachal Pradesh ; Bangladesh,Nagaland-Manipur-Mizoram-Tripura ; Assam & Meghalaya ; Arunachal Pradesh ; Bangladesh
Low Pressure (L) with associated CYCIR,2024-10-21,3.1 km,WC Arabian Sea,WC Arabian Sea
Upper-Level Cyclonic Circulation,2024-10-21,5.8 km,Tamil Nadu & Puducherry,Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,2024-10-21,1.5 km,EC Arabian Sea,EC Arabian Sea
Upper-Level Cyclonic Circulation,2024-10-21,1.5 km to 3.1 km,Bangladesh,Bangladesh
Trough,2024-10-22,1.5 km,EC Bay ; Tamil Nadu & Puducherry,EC Bay ; Tamil Nadu & Puducherry
Low Pressure (L) with associated CYCIR,2024-10-22,3.1 km,WC Arabian Sea,WC Arabian Sea
Upper-Level Cyclonic Circulation,2024-10-22,1.5 km to 5.8 km,EC Arabian Sea ; Coastal Karnataka ; North Interior Karnataka ; South Interior Karnataka,EC Arabian Sea ; Coastal Karnataka ; North Interior Karnataka ; South Interior Karnataka
Upper-Level Cyclonic Circulation,2024-10-23,5.8 km,Comorin Area,Comorin Area
Upper-Level Cyclonic Circulation,2024-10-24,4.5 km,SE Arabian Sea ; Lakshadweep,SE Arabian Sea ; Lakshadweep
Upper-Level Cyclonic Circulation,2024-10-25,3.1 km,SE Arabian Sea ; SW Arabian Sea,SE Arabian Sea ; SW Arabian Sea
Cyclonic Circulation (CYCIR),2024-10-25,1.5 km,SE Arabian Sea ; Kerala,SE Arabian Sea ; Kerala
Cyclonic Circulation (CYCIR),2024-10-25,3.1 km,Assam & Meghalaya,Assam & Meghalaya
Western Disturbances (WD),2024-10-25,5.8 km,Far West Pakistan,Far West Pakistan
Upper-Level Cyclonic Circulation,2024-10-26,3.1 km,SW Arabian Sea,SW Arabian Sea
Trough,2024-10-26,4.5 km to 5.8 km,Lakshadweep ; Tamil Nadu & Puducherry,Lakshadweep ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2024-10-26,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Upper-Level Cyclonic Circulation,2024-10-27,5.8 km,Odisha,Odisha
Upper-Level Cyclonic Circulation,2024-10-27,3.1 km,SW Arabian Sea,SW Arabian Sea
Upper-Level Cyclonic Circulation,2024-10-28,5.8 km,Odisha ; Coastal Andhra Pradesh,Odisha ; Coastal Andhra Pradesh
Upper-Level Cyclonic Circulation,2024-10-28,1.5 km,SW Arabian Sea,SW Arabian Sea
Upper-Level Cyclonic Circulation,2024-10-29,5.8 km,Chhattisgarh ; Odisha,Chhattisgarh ; Odisha
Western Disturbances (WD),2024-10-29,5.8 km,West Pakistan ; North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab,West Pakistan ; North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab
Upper-Level Cyclonic Circulation,2024-10-29,1.5 km to 3.1 km,Assam & Meghalaya,Assam & Meghalaya
Upper-Level Cyclonic Circulation,2024-10-29,1.5 km,SW Arabian Sea,SW Arabian Sea
Western Disturbances (WD),2024-10-30,5.8 km,North Pakistan ; Jammu & Kashmir,North Pakistan ; Jammu & Kashmir
Upper-Level Cyclonic Circulation,2024-10-30,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Upper-Level Cyclonic Circulation,2024-10-30,1.5 km,SW Arabian Sea,SW Arabian Sea
Cyclonic Circulation (CYCIR),2024-10-30,2.1 km,Gulf of Mannar,Gulf of Mannar
Upper-Level Cyclonic Circulation,2024-10-30,1.5 km to 3.1 km,SW Bay ; Coastal Andhra Pradesh,SW Bay ; Coastal Andhra Pradesh
Upper-Level Cyclonic Circulation,2024-10-31,3.1 km to 5.8 km,SW Bay ; Coastal Andhra Pradesh,SW Bay ; Coastal Andhra Pradesh
Upper-Level Cyclonic Circulation,2024-10-31,1.5 km,SW Arabian Sea,SW Arabian Sea
Upper-Level Cyclonic Circulation,2024-10-31,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-10-31,0.9 km,Gulf of Mannar,Gulf of Mannar
Cyclonic Circulation (CYCIR),2024-11-01,3.1 km to 4.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-11-01,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-11-01,3.6 km,Gulf of Mannar,Gulf of Mannar
Cyclonic Circulation (CYCIR),2024-11-02,5.8 km,Tamil Nadu & Puducherry,Tamil Nadu & Puducherry
Trough,2024-11-02,0.9 km,Tamil Nadu & Puducherry ; Coastal Karnataka,Tamil Nadu & Puducherry ; Coastal Karnataka
Cyclonic Circulation (CYCIR),2024-11-02,1.5 km,Central Pakistan ; West Rajasthan,Central Pakistan ; West Rajasthan
Trough,2024-11-02,3.1 km,"Bangladesh ; Nagaland, Manipur, Mizoram & Tripura","Bangladesh ; Nagaland, Manipur, Mizoram & Tripura"
Cyclonic Circulation (CYCIR),2024-11-03,0.9 km,SE Arabian Sea,SE Arabian Sea
Cyclonic Circulation (CYCIR),2024-11-04,1.5 km to 3.1 km,Bangladesh,Bangladesh
Cyclonic Circulation (CYCIR),2024-11-04,3.1 km,SE Arabian Sea,SE Arabian Sea
Cyclonic Circulation (CYCIR),2024-11-04,3.1 km,SE Bay,SE Bay
Trough,2024-11-04,3.1 km,SE Bay ; Tamil Nadu & Puducherry,SE Bay ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2024-11-05,1.5 km to 3.1 km,Bangladesh,Bangladesh
Trough,2024-11-05,4.5 km,Sub-Himalayan West Bengal & Sikkim ; Bangladesh ; Gangetic West Bengal ; Assam & Meghalaya ; Bihar,Sub-Himalayan West Bengal & Sikkim ; Bangladesh ; Gangetic West Bengal ; Assam & Meghalaya ; Bihar
Cyclonic Circulation (CYCIR),2024-11-05,1.5 km,SW Arabian Sea ; SE Arabian Sea,SW Arabian Sea ; SE Arabian Sea
Cyclonic Circulation (CYCIR),2024-11-05,3.1 km,Gulf of Mannar,Gulf of Mannar
Cyclonic Circulation (CYCIR),2024-11-05,1.5 km,SW Bay ; SE Bay,SW Bay ; SE Bay
Cyclonic Circulation (CYCIR),2024-11-06,1.5 km,Bangladesh,Bangladesh
Trough,2024-11-06,5.8 km,Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura ; Bangladesh ; Arunachal Pradesh,Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura ; Bangladesh ; Arunachal Pradesh
Cyclonic Circulation (CYCIR),2024-11-06,3.1 km,SW Bay ; SE Bay,SW Bay ; SE Bay
Cyclonic Circulation (CYCIR),2024-11-07,0.9 km,"Nagaland, Manipur, Mizoram & Tripura","Nagaland, Manipur, Mizoram & Tripura"
Cyclonic Circulation (CYCIR),2024-11-07,3.1 km,SW Bay,SW Bay
Trough,2024-11-07,3.1 km,Gulf of Mannar ; EC Bay ; SW Bay,Gulf of Mannar ; EC Bay ; SW Bay
Cyclonic Circulation (CYCIR),2024-11-08,3.6 km,SW Bay,SW Bay
Trough,2024-11-08,3.1 km,SW Bay ; EC Bay,SW Bay ; EC Bay
Cyclonic Circulation (CYCIR),2024-11-08,1.5 km to 3.1 km,SE Arabian Sea ; Lakshadweep,SE Arabian Sea ; Lakshadweep
Cyclonic Circulation (CYCIR),2024-11-09,3.6 km,SW Bay,SW Bay
Cyclonic Circulation (CYCIR),2024-11-09,3.1 km,SW Arabian Sea ; SE Arabian Sea,SW Arabian Sea ; SE Arabian Sea
Cyclonic Circulation (CYCIR),2024-11-10,3.6 km,SW Bay,SW Bay
Trough,2024-11-10,5.8 km,SW Bay ; EC Bay,SW Bay ; EC Bay
Cyclonic Circulation (CYCIR),2024-11-11,5.8 km,SW Bay,SW Bay
Trough,2024-11-11,1.5 km,SW Bay ; WC Bay ; Coastal Andhra Pradesh,SW Bay ; WC Bay ; Coastal Andhra Pradesh
Western Disturbances (WD),2024-11-11,5.8 km,North Pakistan,North Pakistan
Low Pressure (L) with associated CYCIR,2024-11-12,4.5 km,SW Bay ; WC Bay ; Tamil Nadu & Puducherry ; Coastal Andhra Pradesh,SW Bay ; WC Bay ; Tamil Nadu & Puducherry ; Coastal Andhra Pradesh
Cyclonic Circulation (CYCIR),2024-11-12,0.9 km,SE Arabian Sea ; Kerala,SE Arabian Sea ; Kerala
Upper-Level Cyclonic Circulation,2024-11-13,0.9 km,SW Bay ; Tamil Nadu & Puducherry,SW Bay ; Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,2024-11-13,1.5 km to 3.1 km,SE Arabian Sea ; Kerala,SE Arabian Sea ; Kerala
Upper-Level Cyclonic Circulation,2024-11-13,1.5 km,Bangladesh,Bangladesh
Western Disturbances (WD),2024-11-13,5.8 km,Far West Pakistan ; Southwest Pakistan ; West Pakistan ; North Pakistan ; Central Pakistan,Far West Pakistan ; Southwest Pakistan ; West Pakistan ; North Pakistan ; Central Pakistan
Cyclonic Circulation (CYCIR),2024-11-14,0.9 km,Tamil Nadu & Puducherry,Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,2024-11-14,3.1 km,Lakshadweep ; SE Arabian Sea,Lakshadweep ; SE Arabian Sea
Western Disturbances (WD),2024-11-14,3.1 km,Pakistan ; North pakistan,Pakistan ; North pakistan
Westerly Trough,2024-11-14,5.8 km,West Pakistan,West Pakistan
Cyclonic Circulation (CYCIR),2024-11-15,1.5 km,Gulf of Mannar,Gulf of Mannar
Westerly Trough,2024-11-15,5.8 km,West Pakistan,West Pakistan
Trough,2024-11-16,1.5 km,Comorin Area ; SW Bay,Comorin Area ; SW Bay
Western Disturbances (WD),2024-11-16,5.8 km,North Pakistan,North Pakistan
Cyclonic Circulation (CYCIR),2024-11-17,0.9 km,Maldives and adjoining Equatorial Indian Ocean,Maldives and adjoining Equatorial Indian Ocean
Trough,2024-11-17,0.9 km,SE Arabian Sea,SE Arabian Sea
Cyclonic Circulation (CYCIR),2024-11-17,1.5 km,Bangladesh,Bangladesh
Western Disturbances (WD),2024-11-17,5.8 km,North Pakistan,North Pakistan
Cyclonic Circulation (CYCIR),2024-11-18,0.9 km,Comorin Area,Comorin Area
Cyclonic Circulation (CYCIR),2024-11-18,1.5 km,Bangladesh,Bangladesh
Cyclonic Circulation (CYCIR),2024-11-19,3.1 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-11-19,1.5 km,Tamil Nadu & Puducherry ; Comorin Area,Tamil Nadu & Puducherry ; Comorin Area
Cyclonic Circulation (CYCIR),2024-11-19,1.5 km,Central Pakistan,Central Pakistan
Cyclonic Circulation (CYCIR),2024-11-20,0.9 km,Comorin Area,Comorin Area
Cyclonic Circulation (CYCIR),2024-11-20,0.9 km,SE Arabian Sea,SE Arabian Sea
Cyclonic Circulation (CYCIR),2024-11-20,1.5 km,Central Pakistan,Central Pakistan
Cyclonic Circulation (CYCIR),2024-11-20,1.5 km,Bangladesh,Bangladesh
Cyclonic Circulation (CYCIR),2024-11-21,0.9 km,Comorin Area,Comorin Area
Cyclonic Circulation (CYCIR),2024-11-21,1.5 km,Central Pakistan,Central Pakistan
Cyclonic Circulation (CYCIR),2024-11-21,1.5 km,Bangladesh,Bangladesh
Cyclonic Circulation (CYCIR),2024-11-22,1.5 km to 3.1 km,Bangladesh,Bangladesh
Cyclonic Circulation (CYCIR),2024-11-22,1.5 km,Kerala,Kerala
Western Disturbances (WD),2024-11-22,3.1 km,West Pakistan,West Pakistan
Trough,2024-11-22,1.5 km to 4.5 km,S Andaman Sea ; Gulf of Mannar,S Andaman Sea ; Gulf of Mannar
Trough,2024-11-23,3.1 km,SE Bay ; Comorin Area,SE Bay ; Comorin Area
Western Disturbances (WD),2024-11-23,3.1 km,Afghanistan and neighbourhood,Far West Pakistan
Cyclonic Circulation (CYCIR),2024-11-23,1.5 km,Bangladesh,Bangladesh
Western Disturbances (WD),2024-11-24,5.8 km,West Pakistan ; North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab,West Pakistan ; North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab
Cyclonic Circulation (CYCIR),2024-11-24,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-11-25,0.9 km,Sub-Himalayan West Bengal & Sikkim,Sub-Himalayan West Bengal & Sikkim
Western Disturbances (WD),2024-11-25,5.8 km,North Pakistan,North Pakistan
Western Disturbances (WD),2024-11-27,3.1 km to 4.5 km,Iran,Iran
Western Disturbances (WD),2024-11-28,5.8 km,Far West Pakistan,Far West Pakistan
Cyclonic Circulation (CYCIR),2024-11-28,0.9 km,Bangladesh,Bangladesh
Western Disturbances (WD),2024-11-29,5.8 km,Far West Pakistan,Far West Pakistan
Cyclonic Circulation (CYCIR),2024-11-29,1.5 km,Bangladesh,Bangladesh
Western Disturbances (WD),2024-11-30,5.8 km,West Pakistan ; Central Pakistan ; Far West Pakistan,West Pakistan ; Central Pakistan ; Far West Pakistan
Western Disturbances (WD),2024-12-01,5.8 km,West Pakistan ; North Pakistan ; Central Pakistan,West Pakistan ; North Pakistan ; Central Pakistan
Western Disturbances (WD),2024-12-02,5.8 km,West Pakistan,West Pakistan
Cyclonic Circulation (CYCIR),2024-12-02,1.5 km,Bangladesh,Bangladesh
Cyclonic Circulation (CYCIR),2024-12-02,3.1 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-12-03,1.5 km,Bangladesh ; Assam & Meghalaya,Bangladesh ; Assam & Meghalaya
Low Pressure (L) with associated CYCIR,2024-12-04,5.8 km,EC Arabian Sea ; SE Arabian Sea,EC Arabian Sea ; SE Arabian Sea
Cyclonic Circulation (CYCIR),2024-12-04,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-12-05,4.5 km,SE Arabian Sea,SE Arabian Sea
Cyclonic Circulation (CYCIR),2024-12-06,1.5 km,SW Arabian Sea ; SE Arabian Sea,SW Arabian Sea ; SE Arabian Sea
Cyclonic Circulation (CYCIR),2024-12-06,3.1 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-12-06,3.1 km,SE Bay,SE Bay
Cyclonic Circulation (CYCIR),2024-12-07,1.5 km,SW Arabian Sea ; SE Arabian Sea,SW Arabian Sea ; SE Arabian Sea
Cyclonic Circulation (CYCIR),2024-12-07,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Westerly Trough,2024-12-07,3.1 km to 4.5 km,Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura ; Arunachal Pradesh,Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura ; Arunachal Pradesh
Western Disturbances (WD),2024-12-07,5.8 km,South Pakistan ; West Pakistan ; Central Pakistan,South Pakistan ; West Pakistan ; Central Pakistan
Western Disturbances (WD),2024-12-08,3.1 km to 4.5 km,Central Pakistan,Central Pakistan
Westerly Trough,2024-12-08,5.8 km,Central Pakistan ; North Pakistan ; West Pakistan,Central Pakistan ; North Pakistan ; West Pakistan
Induced Cyclonic Circulation,2024-12-08,1.5 km,Central Pakistan ; West Rajasthan,Central Pakistan ; West Rajasthan
Cyclonic Circulation (CYCIR),2024-12-08,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Low Pressure (L) with associated CYCIR,2024-12-09,5.8 km,SE Bay,SE Bay
Western Disturbances (WD),2024-12-09,1.5 km to 3.1 km,West Uttar Pradesh,West Uttar Pradesh
Cyclonic Circulation (CYCIR),2024-12-09,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-12-09,0.9 km,Bangladesh,Bangladesh
Western Disturbances (WD),2024-12-10,5.8 km,North Pakistan,North Pakistan
Western Disturbances (WD),2024-12-11,5.8 km,North Pakistan,North Pakistan
Cyclonic Circulation (CYCIR),2024-12-11,1.5 km,"Nagaland, Manipur, Mizoram & Tripura","Nagaland, Manipur, Mizoram & Tripura"
Western Disturbances (WD),2024-12-12,3.1 km,North pakistan,North pakistan
Westerly Trough,2024-12-12,5.8 km,North Pakistan ; Jammu & Kashmir ; Punjab ; Central Pakistan ; Haryana,North Pakistan ; Jammu & Kashmir ; Punjab ; Central Pakistan ; Haryana
Cyclonic Circulation (CYCIR),2024-12-12,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Low Pressure (L) with associated CYCIR,2024-12-13,5.8 km,Lakshadweep,Lakshadweep
Cyclonic Circulation (CYCIR),2024-12-13,1.5 km,Assam & Meghalaya,Assam & Meghalaya
