weather system,date,heightAboveMSL,Regions,subdivisions
Trough,2024-04-05,0.9 km,Vidarbha ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry ; Comorin Area,Vidarbha ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry ; Comorin Area
Cyclonic Circulation (CYCIR),2024-04-05,1.5 km to 3.1 km,Assam & Meghalaya,Assam & Meghalaya
Western Disturbances (WD),2024-04-06,3.1 km,West Uttar Pradesh,West Uttar Pradesh
Westerly Trough,2024-04-06,5.8 km,North Pakistan ; Jammu & Kashmir ; Punjab ; Haryana ; Central Pakistan,North Pakistan ; Jammu & Kashmir ; Punjab ; Haryana ; Central Pakistan
Cyclonic Circulation (CYCIR),2024-04-06,0.9 km,Bangladesh,Bangladesh
Trough,2024-04-06,0.9 km,Chhattisgarh ; Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry ; Comorin Area,Chhattisgarh ; Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry ; Comorin Area
Cyclonic Circulation (CYCIR),2024-04-06,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Western Disturbances (WD),2024-04-07,3.1 km,West Uttar Pradesh,West Uttar Pradesh
Westerly Trough,2024-04-07,5.8 km,North Pakistan ; Jammu & Kashmir ; Punjab ; Haryana ; Central Pakistan,North Pakistan ; Jammu & Kashmir ; Punjab ; Haryana ; Central Pakistan
Trough,2024-04-07,1.5 km,Odisha ; Tamil Nadu & Puducherry ; Chhattisgarh ; Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka,Odisha ; Tamil Nadu & Puducherry ; Chhattisgarh ; Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka
Cyclonic Circulation (CYCIR),2024-04-07,0.9 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-04-07,1.5 km,East Rajasthan,East Rajasthan
Trough,2024-04-08,0.9 km,Coastal Andhra Pradesh ; Rayalaseema ; Tamil Nadu & Puducherry,Coastal Andhra Pradesh ; Rayalaseema ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2024-04-08,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-04-08,1.5 km,East Rajasthan ; West Rajasthan,East Rajasthan ; West Rajasthan
Cyclonic Circulation (CYCIR),2024-04-08,1.5 km,Marathwada,Marathwada
Western Disturbances (WD),2024-04-08,5.8 km,Himachal Pradesh ; Ladakh ; Uttarakhand ; Punjab ; Haryana,Himachal Pradesh ; Ladakh ; Uttarakhand ; Punjab ; Haryana
Western Disturbances (WD),2024-04-09,5.8 km,Southwest Pakistan ; Far West Pakistan ; West Pakistan ; South Pakistan,Southwest Pakistan ; Far West Pakistan ; West Pakistan ; South Pakistan
Trough,2024-04-09,0.9 km,Gujarat Region ; Madhya Maharashtra ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry,Gujarat Region ; Madhya Maharashtra ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2024-04-09,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-04-09,1.5 km,West Rajasthan ; East Rajasthan,West Rajasthan ; East Rajasthan
Cyclonic Circulation (CYCIR),2024-04-09,0.9 km,Madhya Maharashtra,Madhya Maharashtra
Cyclonic Circulation (CYCIR),2024-04-09,0.9 km,Sub-Himalayan West Bengal & Sikkim,Sub-Himalayan West Bengal & Sikkim
Western Disturbances (WD),2024-04-10,3.1 km,Afghanistan & neighbourhood,Far West Pakistan
Westerly Trough,2024-04-10,5.8 km,West Pakistan,West Pakistan
Cyclonic Circulation (CYCIR),2024-04-10,1.5 km,East Rajasthan,East Rajasthan
Trough,2024-04-10,1.5 km,East Rajasthan ; Madhya Maharashtra ; Konkan & Goa ; Coastal Karnataka,East Rajasthan ; Madhya Maharashtra ; Konkan & Goa ; Coastal Karnataka
Cyclonic Circulation (CYCIR),2024-04-10,1.5 km,Madhya Maharashtra,Madhya Maharashtra
Trough,2024-04-10,0.9 km,East Rajasthan ; West Uttar Pradesh ; East Uttar Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Bangladesh,East Rajasthan ; West Uttar Pradesh ; East Uttar Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Bangladesh
Cyclonic Circulation (CYCIR),2024-04-10,0.9 km,Sub-Himalayan West Bengal & Sikkim,Sub-Himalayan West Bengal & Sikkim
Western Disturbances (WD),2024-04-11,3.1 km to 12.6 km,Iran,Iran
Cyclonic Circulation (CYCIR),2024-04-11,1.5 km,West Rajasthan,West Rajasthan
Trough,2024-04-11,0.9 km,West Rajasthan ; Gujarat Region ; Konkan & Goa ; Coastal Karnataka,West Rajasthan ; Gujarat Region ; Konkan & Goa ; Coastal Karnataka
Cyclonic Circulation (CYCIR),2024-04-11,1.5 km,Bihar,Bihar
Cyclonic Circulation (CYCIR),2024-04-11,1.5 km,Marathwada ; Madhya Maharashtra,Marathwada ; Madhya Maharashtra
Western Disturbances (WD),2024-04-12,3.1 km to 9.6 km,Iran,Iran
Cyclonic Circulation (CYCIR),2024-04-12,1.5 km,Saurashtra & Kutch,Saurashtra & Kutch
Trough,2024-04-12,1.5 km,Saurashtra & Kutch ; South Interior Karnataka ; Madhya Maharashtra ; North Interior Karnataka,Saurashtra & Kutch ; South Interior Karnataka ; Madhya Maharashtra ; North Interior Karnataka
Cyclonic Circulation (CYCIR),2024-04-12,0.9 km,West Uttar Pradesh,West Uttar Pradesh
Cyclonic Circulation (CYCIR),2024-04-12,1.5 km,Odisha,Odisha
Cyclonic Circulation (CYCIR),2024-04-12,1.5 km,Comorin Area,Comorin Area
Westerly Trough,2024-04-13,5.8 km,Far West Pakistan ; Southwest Pakistan ; West Pakistan ; North Pakistan ; Central Pakistan,Far West Pakistan ; Southwest Pakistan ; West Pakistan ; North Pakistan ; Central Pakistan
Cyclonic Circulation (CYCIR),2024-04-13,0.9 km,Comorin Area,Comorin Area
Trough,2024-04-13,0.9 km,Comorin Area ; Konkan & Goa ; Kerala ; South Interior Karnataka ; North Interior Karnataka,Comorin Area ; Konkan & Goa ; Kerala ; South Interior Karnataka ; North Interior Karnataka
Cyclonic Circulation (CYCIR),2024-04-13,3.1 km,West Rajasthan ; Gujarat Region,West Rajasthan ; Gujarat Region
Trough,2024-04-13,1.5 km,West Rajasthan ; Gujarat Region ; Odisha ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Jharkhand,West Rajasthan ; Gujarat Region ; Odisha ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Jharkhand
Cyclonic Circulation (CYCIR),2024-04-13,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-04-13,3.1 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-06-14,3.1 km to 5.8 km,West Rajasthan,West Rajasthan
Trough,2024-06-14,0.9 km,West Uttar Pradesh ; East Uttar Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya,West Uttar Pradesh ; East Uttar Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-06-14,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Trough,2024-06-14,3.1 km to 5.8 km,Rayalaseema ; WC Bay ; EC Bay,Rayalaseema ; WC Bay ; EC Bay
Westerly Trough,2024-06-14,3.1 km to 5.8 km,Assam & Meghalaya ; Arunachal Pradesh,Assam & Meghalaya ; Arunachal Pradesh
Cyclonic Circulation (CYCIR),2024-06-14,1.5 km,Bihar ; Sub-Himalayan West Bengal & Sikkim,Bihar ; Sub-Himalayan West Bengal & Sikkim
Cyclonic Circulation (CYCIR),2024-06-14,3.1 km,West Madhya Pradesh,West Madhya Pradesh
Western Disturbances (WD),2024-06-14,5.8 km,North Pakistan ; Jammu & Kashmir,North Pakistan ; Jammu & Kashmir
Cyclonic Circulation (CYCIR),2024-06-15,1.5 km to 5.8 km,West Rajasthan,West Rajasthan
Trough,2024-06-15,0.9 km,Bihar ; Assam & Meghalaya ; Sub-Himalayan West Bengal & Sikkim,Bihar ; Assam & Meghalaya ; Sub-Himalayan West Bengal & Sikkim
Cyclonic Circulation (CYCIR),2024-06-15,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Trough,2024-06-15,3.1 km to 5.8 km,Rayalaseema ; WC Bay,Rayalaseema ; WC Bay
Westerly Trough,2024-06-15,3.1 km to 5.8 km,Arunachal Pradesh ; Assam & Meghalaya,Arunachal Pradesh ; Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-06-15,0.9 km,Bangladesh,Bangladesh
Western Disturbances (WD),2024-06-16,5.8 km,Far West Pakistan ; Southwest Pakistan,Far West Pakistan ; Southwest Pakistan
Cyclonic Circulation (CYCIR),2024-06-16,3.1 km to 5.8 km,NE Arabian Sea ; Saurashtra & Kutch,NE Arabian Sea ; Saurashtra & Kutch
Trough,2024-06-16,3.1 km,NE Arabian Sea ; Saurashtra & Kutch ; EC Arabian Sea ; Konkan & Goa,NE Arabian Sea ; Saurashtra & Kutch ; EC Arabian Sea ; Konkan & Goa
Trough,2024-06-16,0.9 km,Bihar ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya,Bihar ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-06-16,1.5 km to 5.8 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-06-16,3.1 km to 7.6 km,SW Bay ; WC Bay,SW Bay ; WC Bay
Cyclonic Circulation (CYCIR),2024-06-16,1.5 km,Sub-Himalayan West Bengal & Sikkim,Sub-Himalayan West Bengal & Sikkim
Western Disturbances (WD),2024-06-17,5.8 km,Southwest Pakistan ; West Pakistan ; Central Pakistan ; Far West Pakistan ; South Pakistan,Southwest Pakistan ; West Pakistan ; Central Pakistan ; Far West Pakistan ; South Pakistan
Cyclonic Circulation (CYCIR),2024-06-17,3.1 km,NE Arabian Sea ; Saurashtra & Kutch,NE Arabian Sea ; Saurashtra & Kutch
Trough,2024-06-17,3.1 km,NE Arabian Sea ; EC Arabian Sea ; Konkan & Goa,NE Arabian Sea ; EC Arabian Sea ; Konkan & Goa
Trough,2024-06-17,1.5 km,Bihar ; Gangetic West Bengal,Bihar ; Gangetic West Bengal
Cyclonic Circulation (CYCIR),2024-06-17,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Trough,2024-06-17,3.1 km,Konkan & Goa ; Coastal Andhra Pradesh,Konkan & Goa ; Coastal Andhra Pradesh
Cyclonic Circulation (CYCIR),2024-06-17,0.9 km,SE Arabian Sea ; Kerala,SE Arabian Sea ; Kerala
Cyclonic Circulation (CYCIR),2024-06-18,3.1 km to 5.8 km,NE Arabian Sea ; Saurashtra & Kutch,NE Arabian Sea ; Saurashtra & Kutch
Cyclonic Circulation (CYCIR),2024-06-18,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-06-18,3.1 km,WC Bay ; Coastal Andhra Pradesh,WC Bay ; Coastal Andhra Pradesh
Cyclonic Circulation (CYCIR),2024-06-18,4.5 km,Rayalaseema,Rayalaseema
Western Disturbances (WD),2024-06-18,5.8 km,West Pakistan ; Central Pakistan,West Pakistan ; Central Pakistan
Cyclonic Circulation (CYCIR),2024-06-19,3.1 km to 4.5 km,Gujarat Region,Gujarat Region
Cyclonic Circulation (CYCIR),2024-06-19,3.1 km to 5.8 km,EC Bay,EC Bay
Cyclonic Circulation (CYCIR),2024-06-19,0.9 km,Bangladesh,Bangladesh
Cyclonic Circulation (CYCIR),2024-06-19,5.8 km,Coastal Andhra Pradesh ; Telangana,Coastal Andhra Pradesh ; Telangana
Western Disturbances (WD),2024-06-19,3.1 km to 5.8 km,North pakistan,North pakistan
Induced Cyclonic Circulation,2024-06-19,1.5 km,Central Pakistan,Central Pakistan
Cyclonic Circulation (CYCIR),2024-06-20,3.1 km to 5.8 km,EC Bay ; NE Bay,EC Bay ; NE Bay
Cyclonic Circulation (CYCIR),2024-06-20,1.5 km to 3.1 km,Pakistan,Pakistan
Cyclonic Circulation (CYCIR),2024-06-20,1.5 km,Bihar,Bihar
Cyclonic Circulation (CYCIR),2024-06-20,0.9 km,Assam & Meghalaya,Assam & Meghalaya
Western Disturbances (WD),2024-06-20,3.1 km to 5.8 km,Jammu & Kashmir,Jammu & Kashmir
Induced Cyclonic Circulation,2024-06-20,1.5 km,"Haryana, Chandigarh & Delhi","Haryana, Chandigarh & Delhi"
Western Disturbances (WD),2024-04-14,3.1 km to 12.6 km,Iran,Iran
Induced Low,2024-04-14,1.5 km,West Rajasthan,West Rajasthan
Cyclonic Circulation (CYCIR),2024-04-14,0.9 km,East Rajasthan,East Rajasthan
Trough,2024-04-14,0.9 km,East Rajasthan ; West Uttar Pradesh ; East Uttar Pradesh ; Bihar ; Jharkhand ; Gangetic West Bengal,East Rajasthan ; West Uttar Pradesh ; East Uttar Pradesh ; Bihar ; Jharkhand ; Gangetic West Bengal
Cyclonic Circulation (CYCIR),2024-04-14,0.9 km,Comorin Area,Comorin Area
Trough,2024-04-14,0.9 km,Comorin Area ; Tamil Nadu & Puducherry ; South Interior Karnataka ; North Interior Karnataka,Comorin Area ; Tamil Nadu & Puducherry ; South Interior Karnataka ; North Interior Karnataka
Cyclonic Circulation (CYCIR),2024-04-14,0.9 km,Bangladesh,Bangladesh
Cyclonic Circulation (CYCIR),2024-04-14,0.9 km,Madhya Maharashtra,Madhya Maharashtra
Western Disturbances (WD),2024-04-15,5.8 km,Southwest Pakistan,Southwest Pakistan
Cyclonic Circulation (CYCIR),2024-04-15,1.5 km,West Rajasthan,West Rajasthan
Cyclonic Circulation (CYCIR),2024-04-15,1.5 km,West Uttar Pradesh,West Uttar Pradesh
Cyclonic Circulation (CYCIR),2024-04-15,1.5 km,Vidarbha,Vidarbha
Cyclonic Circulation (CYCIR),2024-04-15,0.9 km,Bihar,Bihar
Cyclonic Circulation (CYCIR),2024-04-15,0.9 km,Gulf of Mannar,Gulf of Mannar
Western Disturbances (WD),2024-04-16,3.1 km,Jammu & Kashmir,Jammu & Kashmir
Westerly Trough,2024-04-16,5.8 km,West Pakistan ; North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab,West Pakistan ; North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab
Cyclonic Circulation (CYCIR),2024-04-16,1.5 km,Tamil Nadu & Puducherry,Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2024-04-16,0.9 km,Bihar,Bihar
Trough,2024-04-16,0.9 km,Bihar ; Chhattisgarh ; Jharkhand ; Odisha,Bihar ; Chhattisgarh ; Jharkhand ; Odisha
Cyclonic Circulation (CYCIR),2024-04-16,3.1 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-04-16,1.5 km,Rayalaseema,Rayalaseema
Trough,2024-04-16,0.9 km,Marathwada ; North Interior Karnataka,Marathwada ; North Interior Karnataka
Western Disturbances (WD),2024-04-17,5.8 km to 9.6 km,Iran,Iran
Cyclonic Circulation (CYCIR),2024-04-17,0.9 km,Bihar ; Sub-Himalayan West Bengal & Sikkim,Bihar ; Sub-Himalayan West Bengal & Sikkim
Cyclonic Circulation (CYCIR),2024-04-17,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Trough,2024-04-17,0.9 km,Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka,Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka
Trough,2024-04-17,0.9 km,"Bihar ; Nagaland, Manipur, Mizoram & Tripura ; Assam & Meghalaya","Bihar ; Nagaland, Manipur, Mizoram & Tripura ; Assam & Meghalaya"
Trough,2024-04-17,1.5 km,Gulf of Mannar ; Telangana ; Tamil Nadu & Puducherry ; Rayalaseema,Gulf of Mannar ; Telangana ; Tamil Nadu & Puducherry ; Rayalaseema
Western Disturbances (WD),2024-04-18,3.1 km to 9.6 km,Iran,Iran
Cyclonic Circulation (CYCIR),2024-04-18,0.9 km,Bangladesh,Bangladesh
Cyclonic Circulation (CYCIR),2024-04-18,1.5 km to 3.1 km,Assam & Meghalaya,Assam & Meghalaya
Trough,2024-04-18,0.9 km,Comorin Area ; Tamil Nadu & Puducherry ; Rayalaseema ; Telangana,Comorin Area ; Tamil Nadu & Puducherry ; Rayalaseema ; Telangana
Western Disturbances (WD),2024-04-19,3.1 km,North pakistan,North pakistan
Induced Cyclonic Circulation,2024-04-19,1.5 km,Pakistan ; Punjab,Pakistan ; Punjab
Trough,2024-04-19,0.9 km,Marathwada ; Tamil Nadu & Puducherry ; South Interior Karnataka ; North Interior Karnataka,Marathwada ; Tamil Nadu & Puducherry ; South Interior Karnataka ; North Interior Karnataka
Cyclonic Circulation (CYCIR),2024-04-19,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Trough,2024-04-19,0.9 km,Bihar ; Assam & Meghalaya,Bihar ; Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-04-19,0.9 km,Marathwada,Marathwada
Cyclonic Circulation (CYCIR),2024-04-19,3.1 km,SE Bay,SE Bay
Western Disturbances (WD),2024-04-20,3.1 km to 5.8 km,North pakistan ; Jammu & Kashmir,North pakistan ; Jammu & Kashmir
Induced Cyclonic Circulation,2024-04-20,1.5 km,"Haryana, Chandigarh & Delhi","Haryana, Chandigarh & Delhi"
Cyclonic Circulation (CYCIR),2024-04-20,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Trough,2024-04-20,1.5 km,Bihar ; Assam & Meghalaya,Bihar ; Assam & Meghalaya
Trough,2024-04-20,0.9 km,South Interior Karnataka ; Tamil Nadu & Puducherry,South Interior Karnataka ; Tamil Nadu & Puducherry
Trough,2024-04-20,1.5 km,Vidarbha ; EC Arabian Sea ; Coastal Karnataka ; Konkan & Goa,Vidarbha ; EC Arabian Sea ; Coastal Karnataka ; Konkan & Goa
Western Disturbances (WD),2024-04-21,3.1 km,Central Pakistan ; North Pakistan ; South Pakistan ; West Pakistan,Central Pakistan ; North Pakistan ; South Pakistan ; West Pakistan
Western Disturbances (WD),2024-04-21,5.8 km,Iran,Iran
Cyclonic Circulation (CYCIR),2024-04-21,1.5 km to 3.1 km,Assam & Meghalaya,Assam & Meghalaya
Trough,2024-04-21,0.9 km,Chhattisgarh ; Telangana ; Coastal Andhra Pradesh ; Rayalaseema ; Tamil Nadu & Puducherry,Chhattisgarh ; Telangana ; Coastal Andhra Pradesh ; Rayalaseema ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2024-04-21,0.9 km,Bangladesh,Bangladesh
Trough,2024-04-21,0.9 km,Bangladesh ; NW Bay ; NE Bay,Bangladesh ; NW Bay ; NE Bay
Cyclonic Circulation (CYCIR),2024-04-21,0.9 km,Gulf of Mannar,Gulf of Mannar
Western Disturbances (WD),2024-04-22,5.8 km,Pakistan,Pakistan
Cyclonic Circulation (CYCIR),2024-04-22,1.5 km,Bangladesh,Bangladesh
Cyclonic Circulation (CYCIR),2024-04-22,3.1 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-04-22,1.5 km,Marathwada ; Vidarbha,Marathwada ; Vidarbha
Trough,2024-04-22,0.9 km,Chhattisgarh ; Vidarbha ; Kerala ; Marathwada ; North Interior Karnataka ; South Interior Karnataka,Chhattisgarh ; Vidarbha ; Kerala ; Marathwada ; North Interior Karnataka ; South Interior Karnataka
Cyclonic Circulation (CYCIR),2024-04-22,1.5 km,SE Arabian Sea,SE Arabian Sea
Western Disturbances (WD),2024-04-22,5.8 km,North Pakistan ; Jammu & Kashmir ; Punjab ; Central Pakistan ; Haryana,North Pakistan ; Jammu & Kashmir ; Punjab ; Central Pakistan ; Haryana
Western Disturbances (WD),2024-04-23,3.1 km to 7.6 km,North pakistan,North pakistan
Trough,2024-04-23,0.9 km,Madhya Maharashtra ; Kerala ; South Interior Karnataka ; North Interior Karnataka,Madhya Maharashtra ; Kerala ; South Interior Karnataka ; North Interior Karnataka
Cyclonic Circulation (CYCIR),2024-04-23,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-04-23,0.9 km,East Rajasthan,East Rajasthan
Cyclonic Circulation (CYCIR),2024-04-23,0.9 km,Sub-Himalayan West Bengal & Sikkim,Sub-Himalayan West Bengal & Sikkim
Trough,2024-04-23,0.9 km,Sub-Himalayan West Bengal & Sikkim ; NW Bay ; NE Bay,Sub-Himalayan West Bengal & Sikkim ; NW Bay ; NE Bay
Cyclonic Circulation (CYCIR),2024-04-23,1.5 km,South Interior Karnataka,South Interior Karnataka
Cyclonic Circulation (CYCIR),2024-04-23,1.5 km,Comorin Area,Comorin Area
Western Disturbances (WD),2024-04-24,5.8 km,Jammu & Kashmir,Jammu & Kashmir
Western Disturbances (WD),2024-04-24,3.1 km to 7.6 km,Iran,Iran
Cyclonic Circulation (CYCIR),2024-04-24,1.5 km,West Uttar Pradesh,West Uttar Pradesh
Cyclonic Circulation (CYCIR),2024-04-24,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-04-24,0.9 km,Telangana ; Coastal Andhra Pradesh,Telangana ; Coastal Andhra Pradesh
Trough,2024-04-24,0.9 km,Telangana ; Coastal Andhra Pradesh ; Tamil Nadu & Puducherry,Telangana ; Coastal Andhra Pradesh ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2024-04-24,0.9 km,Madhya Maharashtra,Madhya Maharashtra
Cyclonic Circulation (CYCIR),2024-04-24,1.5 km,North Interior Karnataka,North Interior Karnataka
Western Disturbances (WD),2024-04-25,3.1 km to 9.5 km,Iran,Iran
Cyclonic Circulation (CYCIR),2024-04-25,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-04-25,0.9 km,Marathwada ; Madhya Maharashtra,Marathwada ; Madhya Maharashtra
Trough,2024-04-25,0.9 km,Marathwada ; Madhya Maharashtra ; Tamil Nadu & Puducherry ; North Interior Karnataka ; Rayalaseema,Marathwada ; Madhya Maharashtra ; Tamil Nadu & Puducherry ; North Interior Karnataka ; Rayalaseema
Cyclonic Circulation (CYCIR),2024-04-25,1.5 km,West Madhya Pradesh ; East Madhya Pradesh,West Madhya Pradesh ; East Madhya Pradesh
Trough,2024-04-25,1.5 km,West Madhya Pradesh ; East Madhya Pradesh ; South Interior Karnataka ; Vidarbha ; Marathwada,West Madhya Pradesh ; East Madhya Pradesh ; South Interior Karnataka ; Vidarbha ; Marathwada
Western Disturbances (WD),2024-04-26,3.1 km to 5.8 km,Iran ; Pakistan,Iran ; Pakistan
Westerly Trough,2024-04-26,7.6 km,Southwest Pakistan,Southwest Pakistan
Induced Cyclonic Circulation,2024-04-26,1.5 km,West Rajasthan,West Rajasthan
Cyclonic Circulation (CYCIR),2024-04-26,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-04-26,0.9 km,Bangladesh,Bangladesh
Trough,2024-04-26,0.9 km,Bangladesh ; Odisha ; Gangetic West Bengal,Bangladesh ; Odisha ; Gangetic West Bengal
Trough,2024-04-26,1.5 km,Marathwada ; Tamil Nadu & Puducherry ; North Interior Karnataka ; South Interior Karnataka,Marathwada ; Tamil Nadu & Puducherry ; North Interior Karnataka ; South Interior Karnataka
Western Disturbances (WD),2024-04-27,3.1 km to 5.8 km,central Afghanistan,Far West Pakistan
Westerly Trough,2024-04-27,7.6 km,Southwest Pakistan ; West Pakistan,Southwest Pakistan ; West Pakistan
Induced Cyclonic Circulation,2024-04-27,1.5 km,"Haryana, Chandigarh & Delhi","Haryana, Chandigarh & Delhi"
Cyclonic Circulation (CYCIR),2024-04-27,4.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2024-04-27,1.5 km,Bangladesh,Bangladesh
Trough,2024-04-27,1.5 km,Marathwada ; Madhya Maharashtra ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry,Marathwada ; Madhya Maharashtra ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2024-04-27,0.9 km,Chhattisgarh,Chhattisgarh
Cyclonic Circulation (CYCIR),2024-04-27,0.9 km,Comorin Area,Comorin Area
