weather system,date,heightAboveMSL,Regions,subdivisions
Cyclonic Circulation (CYCIR),03-07-2024,1.5 km,Himachal Pradesh,Himachal Pradesh
Cyclonic Circulation (CYCIR),03-07-2024,1.5 km,"Nagaland, Manipur, Mizoram & Tripura","Nagaland, Manipur, Mizoram & Tripura"
Cyclonic Circulation (CYCIR),03-07-2024,1.5 km to 7.6 km,Bangladesh,Bangladesh
Cyclonic Circulation (CYCIR),03-07-2024,4.5 km to 5.8 km,Gujarat Region ; Saurashtra & Kutch,Gujarat Region ; Saurashtra & Kutch
Mean Sea Level Trough,03-07-2024,Surface,"Punjab ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Bihar ; Nagaland, Manipur, Mizoram & Tripura","Punjab ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Bihar ; Nagaland, Manipur, Mizoram & Tripura"
Offshore Trough,03-07-2024,Surface,Konkan & Goa ; Coastal Karnataka ; Kerala,Konkan & Goa ; Coastal Karnataka ; Kerala
Trough,03-07-2024,0.9 km,"East Madhya Pradesh ; Nagaland, Manipur, Mizoram & Tripura ; Chhattisgarh ; Jharkhand","East Madhya Pradesh ; Nagaland, Manipur, Mizoram & Tripura ; Chhattisgarh ; Jharkhand"
Trough,03-07-2024,3.1 km,Pakistan ; West Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Jharkhand ; Bangladesh,Pakistan ; West Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Jharkhand ; Bangladesh
Cyclonic Circulation (CYCIR),04-07-2024,1.5 km,East Rajasthan,East Rajasthan
Cyclonic Circulation (CYCIR),04-07-2024,1.5 km,Pakistan,Pakistan
Cyclonic Circulation (CYCIR),04-07-2024,3.1 km to 4.5 km,Gujarat Region,Gujarat Region
Cyclonic Circulation (CYCIR),04-07-2024,3.1 km to 5.8 km,Jharkhand,Jharkhand
Mean Sea Level Trough,04-07-2024,Surface,West Rajasthan ; West Uttar Pradesh ; East Uttar Pradesh ; Gangetic West Bengal ; NE Bay,West Rajasthan ; West Uttar Pradesh ; East Uttar Pradesh ; Gangetic West Bengal ; NE Bay
Offshore Trough,04-07-2024,Surface,Gujarat Region ; Konkan & Goa ; Coastal Karnataka,Gujarat Region ; Konkan & Goa ; Coastal Karnataka
Trough,04-07-2024,0.9 km,Nagaland-Manipur-Mizoram-Tripura ; Assam & Meghalaya ; Arunachal Pradesh ; Bangladesh,Nagaland-Manipur-Mizoram-Tripura ; Assam & Meghalaya ; Arunachal Pradesh ; Bangladesh
Trough,04-07-2024,1.5 km,East Rajasthan ; West Uttar Pradesh ; East Uttar Pradesh ; Bihar ; Gangetic West Bengal ; Bangladesh,East Rajasthan ; West Uttar Pradesh ; East Uttar Pradesh ; Bihar ; Gangetic West Bengal ; Bangladesh
Cyclonic Circulation (CYCIR),05-07-2024,0.9 km,East Uttar Pradesh,East Uttar Pradesh
Cyclonic Circulation (CYCIR),05-07-2024,0.9 km,West Rajasthan ; Pakistan,West Rajasthan ; Pakistan
Cyclonic Circulation (CYCIR),05-07-2024,3.1 km,Gujarat Region,Gujarat Region
Cyclonic Circulation (CYCIR),05-07-2024,5.8 km,EC Bay,EC Bay
Cyclonic Circulation (CYCIR),05-07-2024,7.6 km,West Uttar Pradesh,West Uttar Pradesh
Monsoon Trough with Extension and Tilt,05-07-2024,Surface,West Rajasthan ; East Rajasthan ; West Uttar Pradesh ; East Uttar Pradesh ; Jharkhand ; Gangetic West Bengal ; NE Bay,West Rajasthan ; East Rajasthan ; West Uttar Pradesh ; East Uttar Pradesh ; Jharkhand ; Gangetic West Bengal ; NE Bay
Offshore Trough,05-07-2024,Surface,Gujarat Region ; Konkan & Goa ; Madhya Maharashtra ; Kerala,Gujarat Region ; Konkan & Goa ; Madhya Maharashtra ; Kerala
Trough,05-07-2024,0.9 km,"West Rajasthan ; Pakistan ; East Uttar Pradesh ; Jharkhand ; Gangetic West Bengal ; Bangladesh ; Nagaland, Manipur, Mizoram & Tripura","West Rajasthan ; Pakistan ; East Uttar Pradesh ; Jharkhand ; Gangetic West Bengal ; Bangladesh ; Nagaland, Manipur, Mizoram & Tripura"
Trough,05-07-2024,1.5 km to 3.1 km,West Uttar Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya ; Bangladesh,West Uttar Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya ; Bangladesh
Cyclonic Circulation (CYCIR),06-07-2024,0.9 km to 7.6 km,West Uttar Pradesh,West Uttar Pradesh
Cyclonic Circulation (CYCIR),06-07-2024,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),06-07-2024,5.8 km to 7.6 km,WC Bay ; Coastal Andhra Pradesh,WC Bay ; Coastal Andhra Pradesh
Monsoon Trough with Extension and Tilt,06-07-2024,Surface,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Jharkhand ; Gangetic West Bengal ; NE Bay,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Jharkhand ; Gangetic West Bengal ; NE Bay
Offshore Trough,06-07-2024,Surface,Gujarat Region ; Konkan & Goa ; Kerala,Gujarat Region ; Konkan & Goa ; Kerala
Trough,06-07-2024,0.9 km,West Uttar Pradesh ; Bihar ; Gangetic West Bengal ; Assam & Meghalaya,West Uttar Pradesh ; Bihar ; Gangetic West Bengal ; Assam & Meghalaya
Trough,06-07-2024,3.1 km to 5.8 km,West Uttar Pradesh ; West Madhya Pradesh ; East Madhya Pradesh ; NE Arabian Sea ; Gujarat Region,West Uttar Pradesh ; West Madhya Pradesh ; East Madhya Pradesh ; NE Arabian Sea ; Gujarat Region
Cyclonic Circulation (CYCIR),07-07-2024,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),07-07-2024,4.5 km,East Rajasthan ; West Rajasthan,East Rajasthan ; West Rajasthan
Cyclonic Circulation (CYCIR),07-07-2024,5.8 km,WC Bay ; Coastal Andhra Pradesh,WC Bay ; Coastal Andhra Pradesh
Mean Sea Level Trough,07-07-2024,0.9 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Jharkhand ; Gangetic West Bengal ; NE Bay,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Jharkhand ; Gangetic West Bengal ; NE Bay
Westerly Trough,07-07-2024,5.8 km,North Pakistan ; Jammu & Kashmir,North Pakistan ; Jammu & Kashmir
Western Disturbances (WD),07-07-2024,3.1 km,Central Pakistan,Central Pakistan
Cyclonic Circulation (CYCIR),08-07-2024,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),08-07-2024,1.5 km,East Rajasthan,East Rajasthan
Cyclonic Circulation (CYCIR),08-07-2024,3.1 km to 7.6 km,WC Bay ; NW Bay ; Coastal Andhra Pradesh,WC Bay ; NW Bay ; Coastal Andhra Pradesh
Cyclonic Circulation (CYCIR),08-07-2024,4.5 km,Gujarat Region,Gujarat Region
Monsoon Trough with Extension and Tilt,08-07-2024,3.1 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Coastal Andhra Pradesh ; WC Bay ; EC Bay ; SW Bay ; SE Bay,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Coastal Andhra Pradesh ; WC Bay ; EC Bay ; SW Bay ; SE Bay
Offshore Trough,08-07-2024,Surface,Gujarat Region ; Konkan & Goa ; Madhya Maharashtra ; Kerala,Gujarat Region ; Konkan & Goa ; Madhya Maharashtra ; Kerala
Westerly Trough,08-07-2024,5.8 km,North Pakistan ; Jammu & Kashmir,North Pakistan ; Jammu & Kashmir
Western Disturbances (WD),08-07-2024,3.1 km,Central Pakistan,Central Pakistan
Cyclonic Circulation (CYCIR),09-07-2024,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),09-07-2024,1.5 km,Gujarat Region,Gujarat Region
Monsoon Trough with Extension and Tilt,09-07-2024,1.5 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; Chhattisgarh ; Odisha ; WC Bay ; EC Bay,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; Chhattisgarh ; Odisha ; WC Bay ; EC Bay
Offshore Trough,09-07-2024,Surface,Konkan & Goa ; Madhya Maharashtra ; Kerala,Konkan & Goa ; Madhya Maharashtra ; Kerala
Cyclonic Circulation (CYCIR),10-07-2024,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),10-07-2024,1.5 km,East Rajasthan,East Rajasthan
Cyclonic Circulation (CYCIR),10-07-2024,1.5 km,Saurashtra & Kutch,Saurashtra & Kutch
Mean Sea Level Trough,10-07-2024,Surface,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; Jharkhand ; Gangetic West Bengal ; NE Bay,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; Jharkhand ; Gangetic West Bengal ; NE Bay
Offshore Trough,10-07-2024,Surface,Madhya Maharashtra ; Konkan & Goa ; Kerala,Madhya Maharashtra ; Konkan & Goa ; Kerala
Trough,10-07-2024,1.5 km,East Uttar Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya,East Uttar Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya
Cyclonic Circulation (CYCIR),11-07-2024,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),11-07-2024,1.5 km,Punjab,Punjab
Cyclonic Circulation (CYCIR),11-07-2024,3.1 km,Odisha,Odisha
Cyclonic Circulation (CYCIR),11-07-2024,3.1 km to 4.5 km,Madhya Maharashtra,Madhya Maharashtra
Cyclonic Circulation (CYCIR),12-07-2024,0.9 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),12-07-2024,0.9 km,Sub-Himalayan West Bengal & Sikkim,Sub-Himalayan West Bengal & Sikkim
Cyclonic Circulation (CYCIR),12-07-2024,3.1 km,Gujarat Region,Gujarat Region
Cyclonic Circulation (CYCIR),12-07-2024,5.8 km,Bihar,Bihar
Mean Sea Level Trough,12-07-2024,Surface,"Punjab ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya ; Nagaland, Manipur, Mizoram & Tripura","Punjab ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya ; Nagaland, Manipur, Mizoram & Tripura"
Offshore Trough,12-07-2024,Surface,Gujarat Region ; Konkan & Goa ; Kerala,Gujarat Region ; Konkan & Goa ; Kerala
Trough,12-07-2024,0.9 km,Assam & Meghalaya ; NW Bay,Assam & Meghalaya ; NW Bay
Trough,12-07-2024,3.1 km,Assam & Meghalaya ; NW Bay,Assam & Meghalaya ; NW Bay
Cyclonic Circulation (CYCIR),13-07-2024,0.9 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),13-07-2024,3.1 km,Jharkhand,Jharkhand
Cyclonic Circulation (CYCIR),13-07-2024,3.1 km to 5.8 km,Gujarat Region ; Saurashtra & Kutch,Gujarat Region ; Saurashtra & Kutch
Cyclonic Circulation (CYCIR),13-07-2024,5.8 km,WC Bay ; Coastal Andhra Pradesh,WC Bay ; Coastal Andhra Pradesh
Mean Sea Level Trough,13-07-2024,0.9 km,"West Rajasthan ; Haryana, Chandigarh & Delhi ; East Uttar Pradesh ; Bihar ; Gangetic West Bengal ; NE Bay","West Rajasthan ; Haryana, Chandigarh & Delhi ; East Uttar Pradesh ; Bihar ; Gangetic West Bengal ; NE Bay"
Western Disturbances (WD),13-07-2024,5.8 km,Central Pakistan ; North Pakistan ; West Pakistan,Central Pakistan ; North Pakistan ; West Pakistan
Cyclonic Circulation (CYCIR),14-07-2024,1.5 km,"Nagaland, Manipur, Mizoram & Tripura","Nagaland, Manipur, Mizoram & Tripura"
Cyclonic Circulation (CYCIR),14-07-2024,5.8 km,Gangetic West Bengal ; Jharkhand ; Odisha,Gangetic West Bengal ; Jharkhand ; Odisha
Cyclonic Circulation (CYCIR),14-07-2024,5.8 km,Gujarat Region ; Saurashtra & Kutch,Gujarat Region ; Saurashtra & Kutch
Cyclonic Circulation (CYCIR),14-07-2024,5.8 km,WC Bay ; Coastal Andhra Pradesh,WC Bay ; Coastal Andhra Pradesh
Monsoon Trough with Extension and Tilt,14-07-2024,0.9 km,"West Rajasthan ; Haryana, Chandigarh & Delhi ; East Uttar Pradesh ; Bihar ; Jharkhand ; Odisha ; EC Bay","West Rajasthan ; Haryana, Chandigarh & Delhi ; East Uttar Pradesh ; Bihar ; Jharkhand ; Odisha ; EC Bay"
Offshore Trough,14-07-2024,Surface,Gujarat Region ; Konkan & Goa ; Kerala,Gujarat Region ; Konkan & Goa ; Kerala
Western Disturbances (WD),14-07-2024,5.8 km,Central Pakistan ; North Pakistan ; West Pakistan,Central Pakistan ; North Pakistan ; West Pakistan
Cyclonic Circulation (CYCIR),15-07-2024,0.9 km,West Rajasthan,West Rajasthan
Cyclonic Circulation (CYCIR),15-07-2024,1.5 km,Pakistan,Pakistan
Low Pressure (L) with associated CYCIR,15-07-2024,7.6 km,NW Bay ; WC Bay ; Odisha,NW Bay ; WC Bay ; Odisha
Mean Sea Level Trough,15-07-2024,Surface,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; NW Bay ; WC Bay,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; NW Bay ; WC Bay
Offshore Trough,15-07-2024,Surface,Konkan & Goa ; Coastal Karnataka ; Kerala,Konkan & Goa ; Coastal Karnataka ; Kerala
Western Disturbances (WD),15-07-2024,5.8 km,North Pakistan ; Jammu & Kashmir,North Pakistan ; Jammu & Kashmir
Cyclonic Circulation (CYCIR),16-07-2024,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Low Pressure (L) with associated CYCIR,16-07-2024,5.8 km,Chhattisgarh ; Vidarbha,Chhattisgarh ; Vidarbha
Mean Sea Level Trough,16-07-2024,1.5 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; Chhattisgarh ; Vidarbha ; Odisha ; WC Bay ; EC Bay ; SW Bay ; SE Bay,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; Chhattisgarh ; Vidarbha ; Odisha ; WC Bay ; EC Bay ; SW Bay ; SE Bay
Offshore Trough,16-07-2024,Surface,Gujarat Region ; Konkan & Goa ; Madhya Maharashtra ; South Interior Karnataka ; Kerala,Gujarat Region ; Konkan & Goa ; Madhya Maharashtra ; South Interior Karnataka ; Kerala
Western Disturbances (WD),16-07-2024,5.8 km,North Pakistan ; Jammu & Kashmir,North Pakistan ; Jammu & Kashmir
Cyclonic Circulation (CYCIR),18-07-2024,1.5 km,Saurashtra & Kutch ; NE Arabian Sea,Saurashtra & Kutch ; NE Arabian Sea
Cyclonic Circulation (CYCIR),18-07-2024,1.5 km to 3.1 km,Assam & Meghalaya,Assam & Meghalaya
Mean Sea Level Trough,18-07-2024,Surface,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; NW Bay ; NE Bay ; WC Bay ; EC Bay,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; NW Bay ; NE Bay ; WC Bay ; EC Bay
Offshore Trough,18-07-2024,Surface,Konkan & Goa ; Coastal Karnataka ; Kerala,Konkan & Goa ; Coastal Karnataka ; Kerala
Western Disturbances (WD),18-07-2024,5.8 km,Jammu & Kashmir ; North Pakistan ; Himachal Pradesh ; Ladakh,Jammu & Kashmir ; North Pakistan ; Himachal Pradesh ; Ladakh
Cyclonic Circulation (CYCIR),19-07-2024,0.9 km to 1.5 km,NE Arabian Sea ; Saurashtra & Kutch,NE Arabian Sea ; Saurashtra & Kutch
Mean Sea Level Trough,19-07-2024,1.5 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; NW Bay ; WC Bay ; Coastal Andhra Pradesh,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; NW Bay ; WC Bay ; Coastal Andhra Pradesh
Western Disturbances (WD),19-07-2024,5.8 km,Jammu & Kashmir ; North Pakistan ; Himachal Pradesh ; Ladakh,Jammu & Kashmir ; North Pakistan ; Himachal Pradesh ; Ladakh
Cyclonic Circulation (CYCIR),20-07-2024,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),20-07-2024,1.5 km,Bihar ; Sub-Himalayan West Bengal & Sikkim,Bihar ; Sub-Himalayan West Bengal & Sikkim
Cyclonic Circulation (CYCIR),20-07-2024,1.5 km,Himachal Pradesh,Himachal Pradesh
Cyclonic Circulation (CYCIR),20-07-2024,1.5 km,West Rajasthan ; East Rajasthan,West Rajasthan ; East Rajasthan
Cyclonic Circulation (CYCIR),20-07-2024,5.8 km,Saurashtra & Kutch,Saurashtra & Kutch
Monsoon Trough with Extension and Tilt,20-07-2024,Surface,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; EC Bay,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; EC Bay
Offshore Trough,20-07-2024,Surface,Gujarat Region ; Konkan & Goa ; Coastal Karnataka ; Kerala,Gujarat Region ; Konkan & Goa ; Coastal Karnataka ; Kerala
Western Disturbances (WD),20-07-2024,5.8 km,West Pakistan ; South Pakistan,West Pakistan ; South Pakistan
Cyclonic Circulation (CYCIR),21-07-2024,0.9 km,East Rajasthan ; West Rajasthan,East Rajasthan ; West Rajasthan
Cyclonic Circulation (CYCIR),21-07-2024,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),21-07-2024,3.1 km,NE Arabian Sea ; Saurashtra & Kutch,NE Arabian Sea ; Saurashtra & Kutch
Mean Sea Level Trough,21-07-2024,Surface,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Odisha ; EC Bay,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Odisha ; EC Bay
Offshore Trough,21-07-2024,Surface,Gujarat Region ; Konkan & Goa ; Kerala,Gujarat Region ; Konkan & Goa ; Kerala
Western Disturbances (WD),21-07-2024,5.8 km,West Pakistan ; South Pakistan ; Central Pakistan,West Pakistan ; South Pakistan ; Central Pakistan
Cyclonic Circulation (CYCIR),22-07-2024,0.9 km,Assam & Meghalaya,Assam & Meghalaya
Low Pressure (L) with associated CYCIR,22-07-2024,7.6 km,East Madhya Pradesh ; Chhattisgarh,East Madhya Pradesh ; Chhattisgarh
Mean Sea Level Trough,22-07-2024,1.5 km,West Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; EC Bay,West Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; EC Bay
Western Disturbances (WD),22-07-2024,5.8 km,Central Pakistan ; North Pakistan ; West Pakistan,Central Pakistan ; North Pakistan ; West Pakistan
Western Disturbances (WD),22-07-2024,5.8 km,West Pakistan,West Pakistan
Cyclonic Circulation (CYCIR),24-07-2024,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),24-07-2024,3.1 km,Gujarat Region,Gujarat Region
Cyclonic Circulation (CYCIR),24-07-2024,7.6 km,Jharkhand,Jharkhand
Cyclonic Circulation (CYCIR),25-07-2024,1.5 km,West Uttar Pradesh,West Uttar Pradesh
Cyclonic Circulation (CYCIR),25-07-2024,1.5 km to 3.1 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),25-07-2024,7.6 km,Gangetic West Bengal ; Bangladesh,Gangetic West Bengal ; Bangladesh
Mean Sea Level Trough,25-07-2024,Surface,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Jharkhand ; Gangetic West Bengal ; NE Bay,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Jharkhand ; Gangetic West Bengal ; NE Bay
Offshore Trough,25-07-2024,Surface,Gujarat Region ; Konkan & Goa ; Kerala,Gujarat Region ; Konkan & Goa ; Kerala
Low Pressure (L) with associated CYCIR,26-07-2024,7.6 km,NW Bay ; NE Bay ; Bangladesh ; Gangetic West Bengal,NW Bay ; NE Bay ; Bangladesh ; Gangetic West Bengal
Mean Sea Level Trough,26-07-2024,Surface,"West Rajasthan ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Madhya Pradesh ; Jharkhand ; Gangetic West Bengal","West Rajasthan ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Madhya Pradesh ; Jharkhand ; Gangetic West Bengal"
Offshore Trough,26-07-2024,Surface,Gujarat Region ; Konkan & Goa ; Kerala,Gujarat Region ; Konkan & Goa ; Kerala
Cyclonic Circulation (CYCIR),27-07-2024,1.5 km,West Uttar Pradesh,West Uttar Pradesh
Low Pressure (L) with associated CYCIR,27-07-2024,7.6 km,Gangetic West Bengal ; Odisha,Gangetic West Bengal ; Odisha
Mean Sea Level Trough,27-07-2024,Surface,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Gangetic West Bengal ; NW Bay ; NE Bay,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Gangetic West Bengal ; NW Bay ; NE Bay
Offshore Trough,27-07-2024,Surface,Konkan & Goa ; North Interior Karnataka ; South Interior Karnataka,Konkan & Goa ; North Interior Karnataka ; South Interior Karnataka
Cyclonic Circulation (CYCIR),28-07-2024,7.6 km,Chhattisgarh,Chhattisgarh
Cyclonic Circulation (CYCIR),29-07-2024,1.5 km,NE Arabian Sea ; Saurashtra & Kutch,NE Arabian Sea ; Saurashtra & Kutch
Cyclonic Circulation (CYCIR),29-07-2024,7.6 km,East Madhya Pradesh,East Madhya Pradesh
Monsoon Trough with Extension and Tilt,29-07-2024,1.5 km,West Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Gangetic West Bengal ; EC Bay,West Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Gangetic West Bengal ; EC Bay
Offshore Trough,29-07-2024,Surface,Gujarat Region ; Konkan & Goa ; Kerala,Gujarat Region ; Konkan & Goa ; Kerala
Cyclonic Circulation (CYCIR),01-08-2024,0.9 km,East Rajasthan,East Rajasthan
Cyclonic Circulation (CYCIR),01-08-2024,3.1 km to 5.8 km,Punjab,Punjab
Cyclonic Circulation (CYCIR),01-08-2024,4.5 km,NE Arabian Sea ; Saurashtra & Kutch,NE Arabian Sea ; Saurashtra & Kutch
Cyclonic Circulation (CYCIR),01-08-2024,7.6 km,Gangetic West Bengal ; Bangladesh,Gangetic West Bengal ; Bangladesh
Monsoon Trough with Extension and Tilt,01-08-2024,Surface,"West Rajasthan ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Bihar ; Gangetic West Bengal ; NE Bay","West Rajasthan ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Bihar ; Gangetic West Bengal ; NE Bay"
Offshore Trough,01-08-2024,Surface,Gujarat Region ; Konkan & Goa ; Kerala,Gujarat Region ; Konkan & Goa ; Kerala
Trough,01-08-2024,0.9 km,Gangetic West Bengal ; Bangladesh ; Bihar,Gangetic West Bengal ; Bangladesh ; Bihar
Trough,01-08-2024,1.5 km to 3.1 km,West Uttar Pradesh ; Gangetic West Bengal,West Uttar Pradesh ; Gangetic West Bengal
Cyclonic Circulation (CYCIR),02-08-2024,0.9 km,"Nagaland, Manipur, Mizoram & Tripura","Nagaland, Manipur, Mizoram & Tripura"
Low Pressure (L) with associated CYCIR,02-08-2024,7.6 km,Gangetic West Bengal ; Jharkhand,Gangetic West Bengal ; Jharkhand
