weather system,date,heightAboveMSL,Regions,subdivisions
Cyclonic Circulation (CYCIR),04-04-2025,1.5 km,Tamil Nadu & Puducherry,Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),04-04-2025,3.1 km,Andaman & Nicobar Islands,Andaman & Nicobar Islands
Western Disturbances (WD),05-04-2025,5.8 km,Himachal Pradesh ; Ladakh ; Uttarakhand,Himachal Pradesh ; Ladakh ; Uttarakhand
Upper-Level Cyclonic Circulation,05-04-2025,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Trough,05-04-2025,0.9 km,Madhya Maharashtra ; Tamil Nadu & Puducherry ; North Interior Karnataka ; South Interior Karnataka,Madhya Maharashtra ; Tamil Nadu & Puducherry ; North Interior Karnataka ; South Interior Karnataka
Cyclonic Circulation (CYCIR),05-04-2025,3.1 km,SE Bay,SE Bay
Upper-Level Cyclonic Circulation,06-04-2025,0.9 km,Bihar,Bihar
Trough,06-04-2025,1.5 km,Bihar ; Jharkhand ; Chhattisgarh ; Vidarbha,Bihar ; Jharkhand ; Chhattisgarh ; Vidarbha
Upper-Level Cyclonic Circulation,06-04-2025,0.9 km,Chhattisgarh,Chhattisgarh
Trough,06-04-2025,0.9 km,Marathwada ; South Interior Karnataka ; North Interior Karnataka ; Tamil Nadu & Puducherry,Marathwada ; South Interior Karnataka ; North Interior Karnataka ; Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,06-04-2025,1.5 km,South Interior Karnataka,South Interior Karnataka
Cyclonic Circulation (CYCIR),06-04-2025,5.8 km,SE Bay,SE Bay
Western Disturbances (WD),06-04-2025,5.8 km,Bihar ; East Uttar Pradesh ; Sub-Himalayan West Bengal & Sikkim,Bihar ; East Uttar Pradesh ; Sub-Himalayan West Bengal & Sikkim
Low Pressure (L) with associated CYCIR,07-04-2025,5.8 km,SW Bay ; SE Bay,SW Bay ; SE Bay
Trough,07-04-2025,1.5 km,SE Bay ; SW Bay ; Tamil Nadu & Puducherry,SE Bay ; SW Bay ; Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,07-04-2025,1.5 km,Jharkhand,Jharkhand
Upper-Level Cyclonic Circulation,07-04-2025,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Trough,07-04-2025,0.9 km,Madhya Maharashtra ; South Interior Karnataka ; North Interior Karnataka,Madhya Maharashtra ; South Interior Karnataka ; North Interior Karnataka
Trough,08-04-2025,0.9 km,SE Bay ; SW Bay ; Tamil Nadu & Puducherry,SE Bay ; SW Bay ; Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,08-04-2025,3.1 km,Assam & Meghalaya,Assam & Meghalaya
Upper-Level Cyclonic Circulation,08-04-2025,0.9 km,Madhya Maharashtra,Madhya Maharashtra
Trough,08-04-2025,0.9 km,Madhya Maharashtra ; South Interior Karnataka ; North Interior Karnataka,Madhya Maharashtra ; South Interior Karnataka ; North Interior Karnataka
Western Disturbances (WD),08-04-2025,5.8 km,Far West Pakistan,Far West Pakistan
Trough,08-04-2025,1.5 km,West Rajasthan ; Vidarbha,West Rajasthan ; Vidarbha
Trough,08-04-2025,0.9 km,East Uttar Pradesh ; West Uttar Pradesh ; Bangladesh ; Bihar,East Uttar Pradesh ; West Uttar Pradesh ; Bangladesh ; Bihar
Trough,09-04-2025,1.5 km,WC Bay ; Tamil Nadu & Puducherry,WC Bay ; Tamil Nadu & Puducherry
Western Disturbances (WD),09-04-2025,5.8 km,Southwest Pakistan,Southwest Pakistan
Upper-Level Cyclonic Circulation,09-04-2025,1.5 km,West Rajasthan,West Rajasthan
Upper-Level Cyclonic Circulation,09-04-2025,1.5 km,West Madhya Pradesh,West Madhya Pradesh
Trough,09-04-2025,0.9 km,West Rajasthan ; Vidarbha ; West Madhya Pradesh,West Rajasthan ; Vidarbha ; West Madhya Pradesh
Trough,09-04-2025,0.9 km,East Madhya Pradesh ; Gangetic West Bengal ; Chhattisgarh ; Jharkhand,East Madhya Pradesh ; Gangetic West Bengal ; Chhattisgarh ; Jharkhand
Upper-Level Cyclonic Circulation,09-04-2025,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),11-04-2025,1.5 km,WC Bay,WC Bay
Western Disturbances (WD),11-04-2025,5.8 km,Central Pakistan ; West Rajasthan ; North Pakistan ; South Pakistan ; West Pakistan,Central Pakistan ; West Rajasthan ; North Pakistan ; South Pakistan ; West Pakistan
Upper-Level Cyclonic Circulation,11-04-2025,1.5 km,West Rajasthan,West Rajasthan
Upper-Level Cyclonic Circulation,11-04-2025,0.9 km,West Madhya Pradesh,West Madhya Pradesh
Trough,11-04-2025,0.9 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; Vidarbha ; Coastal Andhra Pradesh,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; Vidarbha ; Coastal Andhra Pradesh
Trough,11-04-2025,1.5 km,East Madhya Pradesh ; Jharkhand ; Bangladesh,East Madhya Pradesh ; Jharkhand ; Bangladesh
Westerly Trough,11-04-2025,5.8 km,Bihar ; Jharkhand ; Sub-Himalayan West Bengal & Sikkim ; Gangetic West Bengal ; East Uttar Pradesh,Bihar ; Jharkhand ; Sub-Himalayan West Bengal & Sikkim ; Gangetic West Bengal ; East Uttar Pradesh
Upper-Level Cyclonic Circulation,11-04-2025,3.1 km,Sub-Himalayan West Bengal & Sikkim,Sub-Himalayan West Bengal & Sikkim
Trough,11-04-2025,3.1 km,Sub-Himalayan West Bengal & Sikkim ; WC Bay,Sub-Himalayan West Bengal & Sikkim ; WC Bay
Upper-Level Cyclonic Circulation,11-04-2025,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Western Disturbances (WD),12-04-2025,5.8 km,Jammu & Kashmir,Jammu & Kashmir
Upper-Level Cyclonic Circulation,12-04-2025,0.9 km,East Madhya Pradesh,East Madhya Pradesh
Trough,12-04-2025,0.9 km,East Madhya Pradesh ; Gangetic West Bengal ; Jharkhand,East Madhya Pradesh ; Gangetic West Bengal ; Jharkhand
Trough,12-04-2025,0.9 km,East Madhya Pradesh ; Telangana ; Chhattisgarh,East Madhya Pradesh ; Telangana ; Chhattisgarh
Trough,12-04-2025,3.1 km,Assam & Meghalaya ; WC Bay,Assam & Meghalaya ; WC Bay
Upper-Level Cyclonic Circulation,12-04-2025,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Upper-Level Cyclonic Circulation,12-04-2025,1.5 km,Bangladesh,Bangladesh
Westerly Trough,12-04-2025,5.8 km,Bihar ; Jharkhand ; Sub-Himalayan West Bengal & Sikkim ; Gangetic West Bengal ; East Uttar Pradesh,Bihar ; Jharkhand ; Sub-Himalayan West Bengal & Sikkim ; Gangetic West Bengal ; East Uttar Pradesh
Western Disturbances (WD),13-04-2025,5.8 km,Chhattisgarh ; East Uttar Pradesh ; East Madhya Pradesh ; Uttarakhand ; West Uttar Pradesh,Chhattisgarh ; East Uttar Pradesh ; East Madhya Pradesh ; Uttarakhand ; West Uttar Pradesh
Upper-Level Cyclonic Circulation,13-04-2025,0.9 km,East Madhya Pradesh,East Madhya Pradesh
Trough,13-04-2025,0.9 km,West Rajasthan ; East Madhya Pradesh ; East Rajasthan,West Rajasthan ; East Madhya Pradesh ; East Rajasthan
Trough,13-04-2025,3.1 km,Bihar ; Odisha ; Jharkhand,Bihar ; Odisha ; Jharkhand
Upper-Level Cyclonic Circulation,13-04-2025,0.9 km,Coastal Andhra Pradesh,Coastal Andhra Pradesh
Upper-Level Cyclonic Circulation,13-04-2025,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Western Disturbances (WD),14-04-2025,5.8 km,East Uttar Pradesh ; Chhattisgarh ; Odisha ; Bihar ; Jharkhand,East Uttar Pradesh ; Chhattisgarh ; Odisha ; Bihar ; Jharkhand
Trough,14-04-2025,0.9 km,West Rajasthan ; Gulf of Mannar ; East Rajasthan ; West Madhya Pradesh ; Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry,West Rajasthan ; Gulf of Mannar ; East Rajasthan ; West Madhya Pradesh ; Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry
Trough,14-04-2025,0.9 km,East Madhya Pradesh ; West Madhya Pradesh ; Vidarbha ; Telangana,East Madhya Pradesh ; West Madhya Pradesh ; Vidarbha ; Telangana
Upper-Level Cyclonic Circulation,14-04-2025,1.5 km,East Madhya Pradesh,East Madhya Pradesh
Trough,14-04-2025,1.5 km,East Madhya Pradesh ; Chhattisgarh ; Odisha,East Madhya Pradesh ; Chhattisgarh ; Odisha
Upper-Level Cyclonic Circulation,14-04-2025,0.9 km,Bangladesh,Bangladesh
Trough,14-04-2025,0.9 km,West Madhya Pradesh ; East Madhya Pradesh ; Jharkhand ; Gangetic West Bengal,West Madhya Pradesh ; East Madhya Pradesh ; Jharkhand ; Gangetic West Bengal
Upper-Level Cyclonic Circulation,14-04-2025,1.5 km to 3.1 km,Gulf of Mannar,Gulf of Mannar
Western Disturbances (WD),15-04-2025,5.8 km,Bihar ; Coastal Andhra Pradesh ; Jharkhand ; Odisha,Bihar ; Coastal Andhra Pradesh ; Jharkhand ; Odisha
Upper-Level Cyclonic Circulation,15-04-2025,1.5 km,West Madhya Pradesh,West Madhya Pradesh
Trough,15-04-2025,1.5 km,West Madhya Pradesh ; Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka,West Madhya Pradesh ; Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka
Trough,15-04-2025,1.5 km,West Madhya Pradesh ; Chhattisgarh ; Jharkhand ; Odisha ; Gangetic West Bengal,West Madhya Pradesh ; Chhattisgarh ; Jharkhand ; Odisha ; Gangetic West Bengal
Upper-Level Cyclonic Circulation,15-04-2025,0.9 km,Gulf of Mannar,Gulf of Mannar
Upper-Level Cyclonic Circulation,15-04-2025,1.5 km,West Rajasthan,West Rajasthan
Upper-Level Cyclonic Circulation,15-04-2025,1.5 km,SW Bay ; Tamil Nadu & Puducherry,SW Bay ; Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,15-04-2025,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Western Disturbances (WD),16-04-2025,3.1 km to 5.8 km,Sikkim ; Sub-Himalayan West Bengal & Sikkim ; Gangetic West Bengal ; Jharkhand ; Odisha,Sikkim ; Sub-Himalayan West Bengal & Sikkim ; Gangetic West Bengal ; Jharkhand ; Odisha
Trough,16-04-2025,1.5 km,East Madhya Pradesh ; Marathwada ; North Interior Karnataka ; South Interior Karnataka,East Madhya Pradesh ; Marathwada ; North Interior Karnataka ; South Interior Karnataka
Trough,16-04-2025,1.5 km,East Madhya Pradesh ; Chhattisgarh ; Jharkhand ; Gangetic West Bengal,East Madhya Pradesh ; Chhattisgarh ; Jharkhand ; Gangetic West Bengal
Trough,16-04-2025,0.9 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Rayalaseema ; Tamil Nadu & Puducherry ; Gulf of Mannar,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Rayalaseema ; Tamil Nadu & Puducherry ; Gulf of Mannar
Upper-Level Cyclonic Circulation,16-04-2025,0.9 km,West Rajasthan,West Rajasthan
Upper-Level Cyclonic Circulation,16-04-2025,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Upper-Level Cyclonic Circulation,16-04-2025,1.5 km,East Madhya Pradesh,East Madhya Pradesh
Upper-Level Cyclonic Circulation,17-04-2025,1.5 km,West Rajasthan,West Rajasthan
Trough,17-04-2025,0.9 km,West Rajasthan ; East Rajasthan ; Madhya Maharashtra ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry ; Gulf of Mannar,West Rajasthan ; East Rajasthan ; Madhya Maharashtra ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry ; Gulf of Mannar
Upper-Level Cyclonic Circulation,17-04-2025,1.5 km to 5.8 km,Assam & Meghalaya,Assam & Meghalaya
Trough,17-04-2025,0.9 km,East Madhya Pradesh ; Chhattisgarh ; Jharkhand ; Gangetic West Bengal ; Bangladesh ; Assam & Meghalaya,East Madhya Pradesh ; Chhattisgarh ; Jharkhand ; Gangetic West Bengal ; Bangladesh ; Assam & Meghalaya
Cyclonic Circulation (CYCIR),17-04-2025,1.5 km,Bihar,Bihar
Cyclonic Circulation (CYCIR),17-04-2025,1.5 km,Rayalaseema,Rayalaseema
Western Disturbances (WD),18-04-2025,3.1 km to 9.6 km,Iran,Iran
Upper-Level Cyclonic Circulation,18-04-2025,1.5 km,Punjab,Punjab
Trough,18-04-2025,1.5 km,"Punjab ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Jharkhand","Punjab ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Jharkhand"
Cyclonic Circulation (CYCIR),18-04-2025,1.5 km,West Uttar Pradesh ; East Uttar Pradesh,West Uttar Pradesh ; East Uttar Pradesh
Trough,18-04-2025,0.9 km,Madhya Maharashtra ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Rayalaseema ; Tamil Nadu & Puducherry ; Gulf of Mannar,Madhya Maharashtra ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Rayalaseema ; Tamil Nadu & Puducherry ; Gulf of Mannar
Upper-Level Cyclonic Circulation,18-04-2025,3.1 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),18-04-2025,1.5 km,Bangladesh,Bangladesh
Trough,18-04-2025,0.9 km,Jharkhand ; Gangetic West Bengal ; Bangladesh ; Assam & Meghalaya,Jharkhand ; Gangetic West Bengal ; Bangladesh ; Assam & Meghalaya
Western Disturbances (WD),19-04-2025,5.8 km,Southwest Pakistan ; North Pakistan ; West Pakistan ; Central Pakistan ; South Pakistan,Southwest Pakistan ; North Pakistan ; West Pakistan ; Central Pakistan ; South Pakistan
Upper-Level Cyclonic Circulation,19-04-2025,0.9 km,"Haryana, Chandigarh & Delhi","Haryana, Chandigarh & Delhi"
Upper-Level Cyclonic Circulation,19-04-2025,1.5 km,Jharkhand,Jharkhand
Trough,19-04-2025,0.9 km,"Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; Jharkhand ; Gangetic West Bengal ; Bangladesh","Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; Jharkhand ; Gangetic West Bengal ; Bangladesh"
Trough,19-04-2025,0.9 km,Jharkhand ; Assam & Meghalaya ; Gangetic West Bengal ; Bangladesh,Jharkhand ; Assam & Meghalaya ; Gangetic West Bengal ; Bangladesh
Trough,19-04-2025,1.5 km,Vidarbha ; Gulf of Mannar ; Telangana ; North Interior Karnataka ; South Interior Karnataka ; Rayalaseema ; Tamil Nadu & Puducherry,Vidarbha ; Gulf of Mannar ; Telangana ; North Interior Karnataka ; South Interior Karnataka ; Rayalaseema ; Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,19-04-2025,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),19-04-2025,1.5 km to 3.1 km,Bangladesh,Bangladesh
Western Disturbances (WD),20-04-2025,5.8 km,North Pakistan,North Pakistan
Upper-Level Cyclonic Circulation,20-04-2025,1.5 km,Central Pakistan ; West Rajasthan,Central Pakistan ; West Rajasthan
Trough,20-04-2025,0.9 km,Central Pakistan ; West Rajasthan ; West Uttar Pradesh ; Jharkhand ; Gangetic West Bengal ; Bangladesh,Central Pakistan ; West Rajasthan ; West Uttar Pradesh ; Jharkhand ; Gangetic West Bengal ; Bangladesh
Trough,20-04-2025,0.9 km,Vidarbha ; Gulf of Mannar ; Telangana ; North Interior Karnataka ; South Interior Karnataka ; Rayalaseema ; Tamil Nadu & Puducherry,Vidarbha ; Gulf of Mannar ; Telangana ; North Interior Karnataka ; South Interior Karnataka ; Rayalaseema ; Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,20-04-2025,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),20-04-2025,1.5 km,Bangladesh,Bangladesh
Trough,20-04-2025,3.1 km,"Assam & Meghalaya ; Nagaland, Manipur, Mizoram & Tripura ; Bangladesh","Assam & Meghalaya ; Nagaland, Manipur, Mizoram & Tripura ; Bangladesh"
Western Disturbances (WD),21-04-2025,3.1 km to 5.8 km,North pakistan,North pakistan
Upper-Level Cyclonic Circulation,21-04-2025,1.5 km,Central Pakistan ; West Rajasthan,Central Pakistan ; West Rajasthan
Trough,21-04-2025,0.9 km,"West Rajasthan ; Bangladesh ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Madhya Pradesh ; Jharkhand ; Gangetic West Bengal","West Rajasthan ; Bangladesh ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Madhya Pradesh ; Jharkhand ; Gangetic West Bengal"
Trough,21-04-2025,1.5 km,Chhattisgarh ; Gulf of Mannar ; Telangana ; Rayalaseema ; Tamil Nadu & Puducherry,Chhattisgarh ; Gulf of Mannar ; Telangana ; Rayalaseema ; Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,21-04-2025,1.5 km to 3.1 km,Assam & Meghalaya,Assam & Meghalaya
Western Disturbances (WD),22-04-2025,3.1 km to 5.8 km,North pakistan ; Jammu & Kashmir,North pakistan ; Jammu & Kashmir
Trough,22-04-2025,0.9 km,Bihar ; Chhattisgarh ; Vidarbha ; Telangana ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry ; Gulf of Mannar,Bihar ; Chhattisgarh ; Vidarbha ; Telangana ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry ; Gulf of Mannar
Upper-Level Cyclonic Circulation,22-04-2025,1.5 km to 3.1 km,Assam & Meghalaya,Assam & Meghalaya
Trough,22-04-2025,1.5 km,"Central Pakistan ; Punjab ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh","Central Pakistan ; Punjab ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh"
Upper-Level Cyclonic Circulation,22-04-2025,0.9 km,Bihar,Bihar
Trough,22-04-2025,0.9 km,"Bihar ; Sub-Himalayan West Bengal & Sikkim ; Bangladesh ; Nagaland, Manipur, Mizoram & Tripura ; Assam & Meghalaya","Bihar ; Sub-Himalayan West Bengal & Sikkim ; Bangladesh ; Nagaland, Manipur, Mizoram & Tripura ; Assam & Meghalaya"
Upper-Level Cyclonic Circulation,22-04-2025,1.5 km,Tamil Nadu & Puducherry,Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,23-04-2025,0.9 km to 1.5 km,Assam & Meghalaya,Assam & Meghalaya
Upper-Level Cyclonic Circulation,23-04-2025,0.9 km,Bihar,Bihar
Upper-Level Cyclonic Circulation,23-04-2025,1.5 km to 3.1 km,Tamil Nadu & Puducherry,Tamil Nadu & Puducherry
Trough,23-04-2025,0.9 km,Chhattisgarh ; Vidarbha ; Telangana ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry ; Gulf of Mannar,Chhattisgarh ; Vidarbha ; Telangana ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry ; Gulf of Mannar
Trough,24-04-2025,0.9 km,Chhattisgarh ; Vidarbha ; Telangana ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry ; Gulf of Mannar,Chhattisgarh ; Vidarbha ; Telangana ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry ; Gulf of Mannar
Upper-Level Cyclonic Circulation,24-04-2025,0.9 km,Assam & Meghalaya,Assam & Meghalaya
Upper-Level Cyclonic Circulation,24-04-2025,1.5 km,Bangladesh,Bangladesh
Trough,24-04-2025,0.9 km,Bangladesh ; Odisha ; Gangetic West Bengal,Bangladesh ; Odisha ; Gangetic West Bengal
Western Disturbances (WD),24-04-2025,5.8 km,North Pakistan,North Pakistan
Cyclonic Circulation (CYCIR),24-04-2025,1.5 km,Central Pakistan,Central Pakistan
Western Disturbances (WD),25-04-2025,5.8 km,North Pakistan ; Jammu & Kashmir,North Pakistan ; Jammu & Kashmir
Trough,25-04-2025,0.9 km,Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry ; Gulf of Mannar,Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry ; Gulf of Mannar
Upper-Level Cyclonic Circulation,25-04-2025,0.9 km,Assam & Meghalaya,Assam & Meghalaya
Trough,25-04-2025,1.5 km,Sikkim ; Sub-Himalayan West Bengal & Sikkim ; Bangladesh,Sikkim ; Sub-Himalayan West Bengal & Sikkim ; Bangladesh
Cyclonic Circulation (CYCIR),25-04-2025,3.1 km,Jammu & Kashmir,Jammu & Kashmir
Cyclonic Circulation (CYCIR),25-04-2025,1.5 km,Punjab,Punjab
Western Disturbances (WD),26-04-2025,5.8 km,Jammu & Kashmir ; Himachal Pradesh ; Ladakh,Jammu & Kashmir ; Himachal Pradesh ; Ladakh
Cyclonic Circulation (CYCIR),26-04-2025,1.5 km,West Rajasthan,West Rajasthan
Trough,26-04-2025,0.9 km,Telangana ; Rayalaseema ; Tamil Nadu & Puducherry ; Gulf of Mannar,Telangana ; Rayalaseema ; Tamil Nadu & Puducherry ; Gulf of Mannar
Cyclonic Circulation (CYCIR),26-04-2025,1.5 km,Bihar ; Sub-Himalayan West Bengal & Sikkim,Bihar ; Sub-Himalayan West Bengal & Sikkim
Upper-Level Cyclonic Circulation,26-04-2025,0.9 km,Assam & Meghalaya,Assam & Meghalaya
Western Disturbances (WD),27-04-2025,5.8 km,Delhi ; Himachal Pradesh ; Marathwada ; Ladakh ; Haryana,Delhi ; Himachal Pradesh ; Marathwada ; Ladakh ; Haryana
Cyclonic Circulation (CYCIR),27-04-2025,1.5 km,West Rajasthan,West Rajasthan
Trough,27-04-2025,1.5 km,Vidarbha ; Gulf of Mannar ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry,Vidarbha ; Gulf of Mannar ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,27-04-2025,0.9 km,Assam & Meghalaya,Assam & Meghalaya
Western Disturbances (WD),28-04-2025,3.1 km to 9.6 km,Chhattisgarh ; East Uttar Pradesh ; East Madhya Pradesh ; Uttarakhand ; West Uttar Pradesh,Chhattisgarh ; East Uttar Pradesh ; East Madhya Pradesh ; Uttarakhand ; West Uttar Pradesh
Cyclonic Circulation (CYCIR),28-04-2025,1.5 km,West Rajasthan,West Rajasthan
Trough,28-04-2025,0.9 km,West Rajasthan ; Madhya Maharashtra,West Rajasthan ; Madhya Maharashtra
Trough,28-04-2025,1.5 km,Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Kerala,Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Kerala
Upper-Level Cyclonic Circulation,28-04-2025,0.9 km,Bangladesh ; Assam & Meghalaya,Bangladesh ; Assam & Meghalaya
Upper-Level Cyclonic Circulation,28-04-2025,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Upper-Level Cyclonic Circulation,28-04-2025,1.5 km,Comorin Area,Comorin Area
Westerly Trough,29-04-2025,5.8 km to 9.6 km,East Uttar Pradesh ; Odisha ; Bihar ; Jharkhand ; Chhattisgarh,East Uttar Pradesh ; Odisha ; Bihar ; Jharkhand ; Chhattisgarh
Cyclonic Circulation (CYCIR),29-04-2025,1.5 km,West Rajasthan,West Rajasthan
Trough,29-04-2025,0.9 km,West Madhya Pradesh ; Vidarbha ; Marathwada ; South Interior Karnataka ; North Interior Karnataka ; Tamil Nadu & Puducherry,West Madhya Pradesh ; Vidarbha ; Marathwada ; South Interior Karnataka ; North Interior Karnataka ; Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,29-04-2025,1.5 km,Bangladesh,Bangladesh
Upper-Level Cyclonic Circulation,29-04-2025,1.5 km,West Madhya Pradesh,West Madhya Pradesh
