date,source_file,weather_system,subdivisions,region,region_original,height_km,pressure_level,status
2025-06-07,AIWS 20250607.docx,Trough,East Madhya Pradesh,in middle & upper tropospheric levels ran roughly along Long. 87°E to the north of Lat. 22°N. at 5.8 km above m. s. l.,,5.8,500 hPa,
2025-06-07,AIWS 20250607.docx,CYCIR,Northwest Rajasthan,upper air cyclonic circulation over northwest Rajasthan & neighbourhood at 0.9 km above m. s. l.,,0.9,925 hPa,persisted
2025-06-07,AIWS 20250607.docx,CYCIR,Northwest Uttar Pradesh,upper air cyclonic circulation over northwest Uttar Pradesh & neighbourhood persisted and lay at 1.5 km above m. s. l.,,1.5,850 hPa,persisted
2025-06-07,AIWS 20250607.docx,CYCIR,Northeast Assam,upper air cyclonic circulation over northeast Assam & neighbourhood persisted and lay at 0.9 km above m. s. l.,,0.9,925 hPa,persisted
2025-06-08,AIWS 20250608.docx,WD,,Ladakh & adjoining Kashmir at 5.8 km above m. s. l.,,5.8,500 hPa,
2025-06-08,AIWS 20250608.docx,Trough,West Madhya Pradesh ; East Rajasthan,middle & upper tropospheric westerlies ran roughly along Long. 89°E to the north of Lat. 22°N.,,5.8,500 hPa,persisted
2025-06-08,AIWS 20250608.docx,Trough,Arunachal Pradesh ; Assam & Meghalaya ; West Bengal & Sikkim,middle tropospheric westerlies with its axis at 5.8 km above m. s. l. ran roughly along Long. 54°E to the north of Lat. 25°N.,,5.8,500 hPa,
2025-06-08,AIWS 20250608.docx,CYCIR,Haryana ; Chandigarh ; Delhi,upper air cyclonic circulation over northwest Rajasthan lay over Haryana & neighbourhood at 0.9 km above m. s. l.,,0.9,925 hPa,lay over
2025-06-08,AIWS 20250608.docx,CYCIR,Himachal Pradesh ; Uttarakhand,upper air cyclonic circulation over northwest Uttar Pradesh lay over southeast Himachal Pradesh & adjoining Uttarakhand at 1.5 km above m. s. l.,,1.5,850 hPa,persisted
2025-06-08,AIWS 20250608.docx,CYCIR,Central Pakistan,upper air cyclonic circulation lay over central Pakistan & neighbourhood of today morning.,,1.5,850 hPa,persisted
2025-06-08,AIWS 20250608.docx,CYCIR,East Bengal,upper air cyclonic circulation lay over east Bangladesh & neighbourhood which extended upto 1.5 km above m. s. l.,,1.5,850 hPa,
2025-06-08,AIWS 20250608.docx,CYCIR,East Coast Bay,upper air cyclonic circulation lay over southeast & adjoining eastcentral Bay of Bengal at 5.8 km above m. s. l.,,5.8,500 hPa,
2025-06-09,AIWS 20250609.docx,Trough,West Uttar Pradesh ; Madhya Pradesh ; Vidarbha,"northwest Uttar Pradesh and neighbourhood, Madhya Pradesh & Vidarbha",,0.9,925 hPa,persisted
2025-06-09,AIWS 20250609.docx,WD,Jammu & Kashmir ; Ladakh,middle tropospheric westerlies with its axis at 5.8 km above m. s. l.,,5.8,500 hPa,persisted
2025-06-09,AIWS 20250609.docx,Trough,Tamil Nadu ; Karnataka,north Tamil Nadu to south Maharashtra coast across Interior Karnataka between 3.1 & 4.5 km above m. s. l.,,4.5,600 hPa,
2025-06-09,AIWS 20250609.docx,Low Pressure Area,Bay of Bengal ; Odisha,upper air cyclonic circulation over southeast & adjoining eastcentral Bay of Bengal between 5.8 & 7.6 km above m. s. l.,,7.6,400 hPa,
2025-06-09,AIWS 20250609.docx,Trough,Bay of Bengal ; Odisha ; West Bengal,northwest Bay of Bengal and adjoining north coastal Odisha & south Gangetic West Bengal between 1.5 & 5.8 km above m. s. l.,,5.8,500 hPa,
2025-06-10,AIWS 20250610.docx,Trough,northwest Uttar Pradesh ; neighbourhood ; Telangana ; northwest Uttar Pradesh ; west central Bay of Bengal ; north Madhya Pradesh ; south Chhattisgarh ; central Odisha,"from the cyclonic circulation over northwest Uttar Pradesh and neighbourhood to Telangana northwest Uttar Pradesh to west central Bay of Bengal across north Madhya Pradesh, south Chhattisgarh and central Odisha at 0.9 km above m. s. l.",,0.9,925 hPa,
2025-06-10,AIWS 20250610.docx,Trough,north Tamil Nadu ; south Maharashtra coast ; Interior Karnataka,from north Tamil Nadu to south Maharashtra coast across Interior Karnataka lay as a shear zone roughly along Lat. 15°N over the Indian Region between 3.1 and 4.5 km above m. s. l.,,3.1,700 hPa,
2025-06-10,AIWS 20250610.docx,CYCIR,northwest Uttar Pradesh ; neighbourhood ; north Haryana,upper air cyclonic circulation over northwest Uttar Pradesh and neighbourhood lay over north Haryana & neighborhood at 1.5 km above m. s. l.,,1.5,850 hPa,
2025-06-10,AIWS 20250610.docx,CYCIR,northwest Bay of Bengal ; north coastal Odisha ; south Gangetic West Bengal,upper air cyclonic circulation over northwest Bay of Bengal and adjoining north coastal Odisha & south Gangetic West Bengal lay over north Odisha & neighbourhood between 1.5 & 5.8 km above m. s. l. tilting southwards with height.,,1.5,850 hPa,
2025-06-10,AIWS 20250610.docx,WD,,ran roughly along Long. 62°E to the north of Lat. 28°N.,,5.8,500 hPa,
2025-06-10,AIWS 20250610.docx,CYCIR,north Chhattisgarh,An upper air cyclonic circulation lay over north Chhattisgarh and neighborhood at 0.9 km above m. s. l.,,0.9,925 hPa,
2025-06-10,AIWS 20250610.docx,CYCIR,north Pakistan ; off Punjab,An upper air cyclonic circulation lay over north Pakistan & neighborhood off Punjab at 1.5 km above m. s. l.,,1.5,850 hPa,
2025-06-10,AIWS 20250610.docx,CYCIR,central parts of south Uttar Pradesh,An upper air cyclonic circulation lay over central parts of south Uttar Pradesh & neighborhood at 1.5 km above m. l.,,1.5,850 hPa,
2025-06-10,AIWS 20250610.docx,CYCIR,southeast ; eastcentral Bay of Bengal,The upper air cyclonic circulation over southeast & adjoining eastcentral Bay of Bengal lay over central parts of Bay of Bengal between 5.8 & 7.6 km above m. s. l. today morning.,,5.8,500 hPa,
2025-06-11,AIWS 20250611.docx,Trough,northeast Rajasthan ; westcentral Bay of Bengal ; Madhya Pradesh ; Chhattisgarh,"from northeast Rajasthan to the upper air cyclonic circulation over westcentral Bay of Bengal across Madhya Pradesh, Chhattisgarh at 0.9 km above m. s. l.",,0.9,925 hPa,
2025-06-11,AIWS 20250611.docx,Trough,east Uttar Pradesh,lay over east Uttar Pradesh and extended upto 1.5 km above m. s. l.,,1.5,850 hPa,
2025-06-11,AIWS 20250611.docx,Trough,east Uttar Pradesh,lay over over east Uttar Pradesh and extended upto 1.5 km above m. s. l.,,1.5,850 hPa,
2025-06-11,AIWS 20250611.docx,Trough,east Madhya Pradesh,lay over east Madhya Pradesh and neighbourhood at 0.9 km above m. s. l. today morning.,,0.9,925 hPa,
2025-06-11,AIWS 20250611.docx,Trough,north Haryana ; Chandigarh,lay over north Haryana & Chandigarh at 0.9 km above m. s. l.,,0.9,925 hPa,
2025-06-11,AIWS 20250611.docx,Trough,north Chhattisgarh,lay over north Chhattisgarh lay over east Madhya Pradesh and neighbourhood at 0.9 km above m. s. l. today morning.,,0.9,925 hPa,
2025-06-11,AIWS 20250611.docx,CYCIR,westcentral Bay of Bengal ; north coastal Andhra Pradesh,lay over westcentral Bay of Bengal off north coastal Andhra Pradesh coast and extended upto 5.8 km above m. s. l.,,5.8,500 hPa,
2025-06-11,AIWS 20250611.docx,CYCIR,north Chhattisgarh,lay over north Chhattisgarh lay over east Madhya Pradesh and neighbourhood at 0.9 km above m. s. l. today morning.,,0.9,925 hPa,
2025-06-13,AIWS 20250613.docx,WD,,ran roughly along Long. 66°E to the north of Lat. 28°N,,5.8,500 hPa,
2025-06-13,AIWS 20250613.docx,Trough,Marathwada ; Madhya Pradesh ; Vidarbha,ran from the upper air cyclonic circulation over northwest Rajasthan to Marathwada across Madhya Pradesh & Vidarbha at 0.9 km above m. s. l.,,0.9,925 hPa,
2025-06-13,AIWS 20250613.docx,Trough,north coastal Andhra Pradesh ; southwest Telangana ; interior Karnataka,"ran from north coastal Andhra Pradesh to coastal Karnataka across the cyclonic circulation over southwest Telangana, interior Karnataka at 3.1 km above m. s. l.",,3.1,700 hPa,
2025-06-13,AIWS 20250613.docx,Trough,Marathwada ; Madhya Pradesh ; Vidarbha,ran from the upper air cyclonic circulation over northwest Rajasthan to Marathwada across Madhya Pradesh & Vidarbha at 0.9 km above m. s. l.,,0.9,925 hPa,
2025-06-13,AIWS 20250613.docx,Trough,north coastal Andhra Pradesh ; southwest Telangana ; interior Karnataka,"ran from north coastal Andhra Pradesh to coastal Karnataka across the cyclonic circulation over southwest Telangana, interior Karnataka at 3.1 km above m. s. l.",,3.1,700 hPa,
2025-06-13,AIWS 20250613.docx,CYCIR,northwest Rajasthan,lay over northwest Rajasthan at 0.9 km above m. s. l.,,0.9,925 hPa,
2025-06-13,AIWS 20250613.docx,CYCIR,southwest Telangana,lay over southwest Telangana & neighbourhood today morning.,,5.8,500 hPa,
2025-06-13,AIWS 20250613.docx,CYCIR,north interior Karnataka ; Telangana ; Rayalaseema,lay over north interior Karnataka and adjoining Telangana & Rayalaseema which extended upto 5.8 km above m. s. l.,,5.8,500 hPa,
2025-06-14,AIWS 20250614.docx,WD,,ran roughly along Long. 70°E to the north of Lat. 26°N,,5.8,500 hPa,
2025-06-14,AIWS 20250614.docx,Trough,Marathwada ; north Madhya Maharashtra ; Gujarat Region,from the upper air cyclonic circulation over northwest Rajasthan to Marathwada ran from the upper air cyclonic circulation over west Rajasthan & adjoining Pakistan to north Madhya Maharashtra across Gujarat region at 1.5 km above m. s. l.,,1.5,850 hPa,
2025-06-14,AIWS 20250614.docx,Trough,north interior Karnataka ; adjoining Telangana & Rayalaseema ; Marathwada & neighbourhood,from the upper air cyclonic circulation over north interior Karnataka and adjoining Telangana & Rayalaseema to Marathwada & neighbourhood at 5.8 km above m. s. l.,,5.8,500 hPa,
2025-06-14,AIWS 20250614.docx,Trough,westcentral Arabian Sea ; south coastal Odisha ; coastal Andhra Pradesh,from westcentral Arabian Sea to south coastal Odisha ran from the upper air cyclonic circulation over Marathwada & neighbourhood to coastal Andhra Pradesh across Telangana between 3.1 & 5.8 km above m. s. l.,,5.8,500 hPa,
2025-06-14,AIWS 20250614.docx,CYCIR,north Odisha,lay over north Odisha & neighbourhood between 3.1 & 5.8 km above m. s. l.,,5.8,500 hPa,
2025-06-14,AIWS 20250614.docx,CYCIR,westcentral Bay of Bengal,lay over westcentral Bay of Bengal off north coastal Andhra Pradesh coast at 5.8 km above m. s. l.,,5.8,500 hPa,
2025-06-14,AIWS 20250614.docx,CYCIR,south Bangladesh,lay over south Bangladesh & adjoining north Bay of Bengal at 3.1 km above m. s. l.,,3.1,700 hPa,
2025-06-14,AIWS 20250614.docx,Trough,south Odisha,ran from the cyclonic circulation over south Bangladesh & adjoining north Bay of Bengal to south Odisha at 3.1 km above m. s. l.,,3.1,700 hPa,
2025-06-14,AIWS 20250614.docx,CYCIR,central Assam,lay over central Assam & neighbourhood at 0.9 km above m. s. l.,,0.9,925 hPa,
2025-06-15,AIWS 20250615.docx,CYCIR,northwest Bay of Bengal & neighbourhood,south Bangladesh & adjoining north Bay of Bengal,,7.6,400 hPa,lay over
2025-06-15,AIWS 20250615.docx,CYCIR,,westcentral Bay of Bengal off north coastal Andhra Pradesh coast,,5.8,500 hPa,merged with the cyclonic circulation over northwest Bay of Bengal & neighbourhood
2025-06-15,AIWS 20250615.docx,CYCIR,south Madhya Maharashtra & neighbourhood,Marathwada,,7.6,400 hPa,lay over and extended upto 7.6 km above m. s. l.
2025-06-15,AIWS 20250615.docx,Trough,East Madhya Pradesh ; Chhattisgarh ; Jharkhand ; Gangetic West Bengal,"from east Madhya Pradesh to Bangladesh across Chhattisgarh, Jharkhand & Gangetic West Bengal",,1.5,850 hPa,extended upto 1.5 km above m. s. l.
2025-06-15,AIWS 20250615.docx,CYCIR,,central Assam & neighbourhood,,4.5,600 hPa,persisted
2025-06-15,AIWS 20250615.docx,Trough,west Rajasthan ; north Madhya Maharashtra,from the upper air cyclonic circulation over west Rajasthan & adjoining Pakistan to north Madhya Maharashtra,,1.5,850 hPa,ran from the upper air cyclonic circulation over north Rajasthan & neighbourhood to west Madhya Pradesh at 1.5 km above m. s. l.
2025-06-15,AIWS 20250615.docx,WD,north of Lat. 26°N,as a trough in middle tropospheric westerlies with its axis at 5.8 km above m. s. l.,,5.8,500 hPa,persisted
2025-06-16,AIWS 20250616.docx,CYCIR,NW Arabian Sea,northwest Bay of Bengal & neighbourhood,,5.8,500 hPa,persisted
2025-06-16,AIWS 20250616.docx,CYCIR,"Haryana, Chandigarh & Delhi",north Rajasthan & neighbourhood,,0.9,925 hPa,
2025-06-16,AIWS 20250616.docx,CYCIR,Himachal Pradesh ; Uttarakhand,south Himachal Pradesh & adjoining north Uttarakhand,,3.1,700 hPa,
2025-06-16,AIWS 20250616.docx,Trough,West Madhya Pradesh ; Chhattisgarh ; Odisha ; Jharkhand ; Gangetic West Bengal,middle tropospheric westerlies with its axis at 5.8 km above m. s. l.,,5.8,500 hPa,persisted
2025-06-16,AIWS 20250616.docx,CYCIR,Assam,over northeast Assam & neighbourhood and extended upto 1.5 km above m. s. l.,,1.5,850 hPa,
2025-06-17,AIWS 20250617.docx,Low Pressure Area,Gangetic West Bengal,southwest Bangladesh and adjoining Gangetic West Bengal,,7.6,400 hPa,persisted
2025-06-17,AIWS 20250617.docx,Low Pressure Area,Gujarat Region,Gujarat & neighbourhood,,5.8,500 hPa,persisted
2025-06-17,AIWS 20250617.docx,Trough,Jharkhand ; Madhya Pradesh ; Chhattisgarh,from cyclonic circulation associated with Low Pressure Area over Gujarat region & neighbourhood to Jharkhand across Madhya Pradesh & north Chhattisgarh,,0.9,925 hPa,
2025-06-17,AIWS 20250617.docx,WD,,as a trough in middle tropospheric westerlies with its axis at 5.8 km above m. s. l. ran roughly along Long. 72°E to the north of Lat. 30°N,,5.8,500 hPa,
2025-06-17,AIWS 20250617.docx,CYCIR,Assam & Meghalaya,upper air cyclonic circulation over northeast Assam & neighbourhood extending upto 1.5 km above m. s. l.,,1.5,850 hPa,persisted
2025-06-18,AIWS 20250618.docx,Low Pressure Area,Gangetic West Bengal ; Bihar,Gangetic West Bengal & neighbourhood,,7.6,400 hPa,persisted
2025-06-18,AIWS 20250618.docx,Trough,Rajasthan,central parts of Rajasthan,,5.8,500 hPa,
2025-06-18,AIWS 20250618.docx,WD,Punjab,Punjab & neighbourhood,,3.1,700 hPa,
2025-06-19,AIWS 20250619.docx,Well Marked Low Pressure Area,Gangetic West Bengal ; neighbourhood,Gangetic West Bengal & neighbourhood,,7.6,400 hPa,persisted
2025-06-19,AIWS 20250619.docx,CYCIR,central parts of Rajasthan ; neighbourhood,central parts of Rajasthan & neighbourhood,,4.5,600 hPa,persisted
2025-06-19,AIWS 20250619.docx,Trough,northwest Uttar Pradesh ; north Gujarat Region,northwest Uttar Pradesh to north Gujarat region,,3.1,700 hPa,persisted
2025-06-19,AIWS 20250619.docx,Trough,south Punjab ; south Assam,south Punjab to south Assam,,0.9,925 hPa,persisted
2025-06-19,AIWS 20250619.docx,WD,Punjab ; neighbourhood,Punjab & neighbourhood,,5.8,500 hPa,moved away northeastwards
2025-06-19,AIWS 20250619.docx,Trough,northwest Uttar Pradesh ; north Gujarat Region,northwest Uttar Pradesh to north Gujarat region across the cyclonic circulation over northeast Rajasthan & neighbourhood between 3.1 & 5.8 km above m. s. l.,,5.8,500 hPa,persisted
2025-06-19,AIWS 20250619.docx,CYCIR,Punjab ; neighbourhood,over Punjab & neighbourhood in middle tropospheric westerlies with its axis at 5.8 km above m. s. l.,,5.8,500 hPa,moved away northeastwards
2025-06-19,AIWS 20250619.docx,Trough,northwest Uttar Pradesh ; north Gujarat Region,from northwest Uttar Pradesh to north Gujarat region across the cyclonic circulation over northeast Rajasthan & neighbourhood between 3.1 & 5.8 km above m. s. l.,,5.8,500 hPa,persisted
2025-06-19,AIWS 20250619.docx,CYCIR,northeast Rajasthan ; neighbourhood,over northeast Rajasthan & neighbourhood at 0530 hrs IST of today,,4.5,600 hPa,persisted
2025-06-20,AIWS 20250620.docx,CYCIR,Rajasthan,over northeast Rajasthan & neighbourhood,,5.8,500 hPa,persisted and extended upto 5.8 km above m. s. l.
2025-06-20,AIWS 20250620.docx,Trough,Rajasthan ; Meghalaya,"from northwest Rajasthan to Meghalaya across the cyclonic circulation over northeast Rajasthan & neighbourhood, south Uttar Pradesh and associated cyclonic circulation with the well-marked low-pressure area over northeast Jharkhand & neighbourhood at 0530 hrs IST of today, the 20th June 2025",,1.5,850 hPa,
2025-06-20,AIWS 20250620.docx,Trough,Punjab ; Assam,"from south Punjab to south Assam across the cyclonic circulation over northeast Rajasthan, north Madhya Pradesh and the cyclonic circulation associated with the Well-Marked Low-Pressure Area over Jharkhand & adjoining Gangetic West Bengal",,3.1,700 hPa,
2025-06-21,AIWS 20250621.docx,Low Pressure Area,southwest Bihar & neighbourhood,south Bihar & neighbourhood,,7.6,400 hPa,persisted
2025-06-21,AIWS 20250621.docx,CYCIR,,northeast Rajasthan & neighbourhood,,1.5,850 hPa,persisted and extended
2025-06-21,AIWS 20250621.docx,Trough,northwest Rajasthan ; Meghalaya,from northwest Rajasthan to Meghalaya,,3.1,700 hPa,
2025-06-21,AIWS 20250621.docx,Trough,northwest Uttar Pradesh ; north Gujarat Region,from northwest Uttar Pradesh to north Gujarat Region,,3.1,700 hPa,
2025-06-21,AIWS 20250621.docx,CYCIR,,central parts of Assam,,1.5,850 hPa,
2025-06-22,AIWS 20250622.docx,CYCIR,Bangladesh ; Gangetic West Bengal,Bangladesh and adjoining Gangetic West Bengal between 1.5 & 5.8 km tilting southwards with height,,5.8,500 hPa,
2025-06-22,AIWS 20250622.docx,Trough,Rajasthan ; Madhya Pradesh ; Uttar Pradesh ; Jharkhand,"east-west shear line/trough from south Pakistan to above cyclonic circulation over Bangladesh and adjoining Gangetic West Bengal across central parts of Rajasthan, northwest Madhya Pradesh, cyclonic circulation associated with low pressure area over central parts of south Uttar Pradesh & neighbourhood and Jharkhand between 1.5 & 4.5 km above mean sea level tilting southwards with height",,4.5,600 hPa,
2025-06-22,AIWS 20250622.docx,CYCIR,Assam,northeast Assam & neighbourhood at 0.9 km above m. s. l.,,0.9,925 hPa,
2025-06-23,AIWS 20250623.docx,Low Pressure Area,,southeast Uttar Pradesh & neighbourhood,,5.8,500 hPa,"lay over, extended"
2025-06-23,AIWS 20250623.docx,Trough,,"from above cyclonic circulation over central parts of south Uttar Pradesh to northwest Bay of Bengal across northeast Madhya Pradesh, Jharkhand & north Odisha and extends upto 1.5 km above m. s. l.",,1.5,850 hPa,
2025-06-23,AIWS 20250623.docx,Trough,,along Long. 87°E to the north of Lat. 21°N at 3.1 km above m. s. l.,,3.1,700 hPa,
2025-06-23,AIWS 20250623.docx,CYCIR,Saurashtra & Kutch,lay over Saurashtra & Kutch at 3.1 km above m. s. l.,,3.1,700 hPa,
2025-06-23,AIWS 20250623.docx,CYCIR,Assam & Meghalaya,persisted and extended upto 1.5 km above m. s. l. over northeast Assam & neighbourhood at 3.1 km above m. s. l.,,3.1,700 hPa,persisted
2025-06-23,AIWS 20250623.docx,CYCIR,WC Arabian Sea ; NE Arabian Sea,lay over westcentral and adjoining northwest Bay of Bengal off north coastal Andhra Pradesh & south Odisha coast between 5.8 & 7.6 km above m. s. l.,,7.6,400 hPa,
2025-06-25,AIWS 20250625.docx,Trough,northeast Arabian Sea ; south Jharkhand ; northwest Bay ; north Odisha-west Bengal coasts ; northeast Madhya Pradesh ; south Gujarat ; north Madhya Maharashtra,"from northeast Arabian Sea to the cyclonic circulation over south Jharkhand & neighbourhood ran from northeast Arabian Sea to the cyclonic circulation over northwest Bay of Bengal and adjoining north Odisha-west Bengal coasts of today morning. It then ran from northeast Arabian Sea to the cyclonic circulation over northeast Madhya Pradesh across south Gujarat, north Madhya Maharashtra and extended between 3.1 & 5.8 km above m. s. l",,5.8,500 hPa,
2025-06-25,AIWS 20250625.docx,CYCIR,central parts of south Uttar Pradesh ; central parts of northeast Madhya Pradesh,upper air cyclonic circulation over central parts of south Uttar Pradesh lay over central parts of northeast Madhya Pradesh of today morning. It then persisted over the same region extended upto 5.8 km above m. s. l tilting southwards with height.,,5.8,500 hPa,persisted
2025-06-25,AIWS 20250625.docx,CYCIR,northwest Bay ; north Odisha-west Bengal coasts,upper air cyclonic circulation over northwest Bay of Bengal and adjoining north Odisha-west Bengal coasts persisted and extended upto 7.6 km above m. s. l tilting southwestwards with height.,,7.6,400 hPa,persisted
2025-06-26,AIWS 20250626.docx,Trough,Gujarat Region ; Madhya Pradesh ; Chhattisgarh,"from northeast Arabian Sea to the cyclonic circulation over northeast Madhya Pradesh ran from northeast Arabian Sea to low pressure area over northwest Bay of Bengal and adjoining coastal areas of Odisha and West Bengal across south Gujarat, Madhya Pradesh, Chhattisgarh & extended between 1.5 & 7.6 km above m. s. l.",,7.6,400 hPa,persisted
2025-06-26,AIWS 20250626.docx,CYCIR,Madhya Pradesh,upper air cyclonic circulation over central parts of northeast Madhya Pradesh at 0.9 km above m. s. l.,,0.9,925 hPa,persisted
2025-06-27,AIWS 20250627.docx,Trough,Gujarat Region ; Madhya Maharashtra ; Vidarbha ; Chhattisgarh,"from southeast Arabian Sea to Odisha across south Gujarat, northern parts of Madhya Maharashtra, Vidarbha, Chhattisgarh between 4.5 & 5.8 km above m. s. l.",,5.8,500 hPa,merged with the mentioned trough
2025-06-27,AIWS 20250627.docx,Trough,west Rajasthan ; east Rajasthan ; north Madhya Pradesh ; north Jharkhand ; Gangetic West Bengal,"from the cyclonic circulation over southwest Rajasthan to Bangladesh across east Rajasthan, north Madhya Pradesh, north Jharkhand, Gangetic West Bengal and extended upto 5.8 km above m. s. l.",,5.8,500 hPa,persisted over the same region and extended
2025-06-27,AIWS 20250627.docx,CYCIR,southwest Rajasthan,lay over southwest Rajasthan of today morning and then persisted over the same region and extended upto 5.8 km above m. s. l.,,5.8,500 hPa,persisted
2025-06-27,AIWS 20250627.docx,CYCIR,Gujarat Region ; Madhya Maharashtra ; Vidarbha ; Chhattisgarh,"merged with the mentioned trough from southeast Arabian Sea to Odisha across south Gujarat, northern parts of Madhya Maharashtra, Vidarbha, Chhattisgarh between 4.5 & 5.8 km above m. s. l.",,5.8,500 hPa,
2025-06-28,AIWS 20250628.docx,CYCIR,Saurashtra & Kutch,Saurashtra & Kutch & adjoining northeast Arabian sea,,7.6,400 hPa,persisted
2025-06-28,AIWS 20250628.docx,CYCIR,Gangetic West Bengal,southwest Bangladesh & adjoining Gangetic West Bengal,,4.5,600 hPa,persisted
2025-06-28,AIWS 20250628.docx,Trough,west Madhya Pradesh ; Chhattisgarh,"east-west trough from the cyclonic circulation over southwest Rajasthan to Bangladesh now ran from the upper air cyclonic circulation over southwest Bangladesh & adjoining Gangetic West Bengal to northeast Madhya Pradesh across Jharkhand, north Chhattisgarh",,3.1,700 hPa,persisted
2025-06-28,AIWS 20250628.docx,CYCIR,south Uttar Pradesh,central parts of south Uttar Pradesh,,1.5,850 hPa,persisted
2025-06-28,AIWS 20250628.docx,CYCIR,Assam,northeast Assam,,0.9,925 hPa,persisted
2025-06-29,AIWS 20250629.docx,Low Pressure Area,West Bengal ; Bangladesh,Northwest Bay of Bengal and adjoining West Bengal and Bangladesh coasts,,7.6,400 hPa,persisted
2025-06-29,AIWS 20250629.docx,Trough,"south Rajasthan & adjoining north Gujarat to the cyclonic circulation associated with the low-pressure area over northwest Bay of Bengal and adjoining West Bengal and Bangladesh coasts across Madhya Pradesh, north Chhattisgarh and north Odisha",3.1 & 5.8 km above m. s. l.,,5.8,500 hPa,
2025-06-29,AIWS 20250629.docx,CYCIR,central parts of north Arabian Sea,1.5 km above m. s. l.,,1.5,850 hPa,
2025-06-29,AIWS 20250629.docx,CYCIR,central parts of south Uttar Pradesh,0.9 km above m. s. l.,,0.9,925 hPa,
2025-06-30,AIWS 20250630.docx,CYCIR,Gangetic West Bengal ; Odisha ; Jharkhand,"coastal Gangetic West Bengal & neighbourhood, north Odisha, Gangetic West Bengal & Jharkhand",,5.8,500 hPa,extended
