date,source_file,weather_system,subdivisions,region,region_original,height_km,pressure_level,status
2025-06-12,AIWS 20250612.docx,CYCIR,Coastal Andhra Pradesh,westcentral bay of bengal off north coastal andhra pradesh coast,,5.8,500 hPa,extended
2025-06-12,AIWS 20250612.docx,Trough,Coastal Karnataka ; North Interior Karnataka ; South Interior Karnataka,"the cyclonic circulation ; coastal karnataka ; chhattisgarh, marathwada, interior karnataka between 3",,5.8,500 hPa,
2025-06-12,AIWS 20250612.docx,WD,Iran ; Pakistan,Southwest Pakistan,along long. 62°e to the north of lat. 28°n,5.8,500 hPa,
2025-06-13,AIWS 20250613.docx,CYCIR,West Rajasthan,northwest rajasthan,,0.9,925 hPa,lay over
2025-06-13,AIWS 20250613.docx,Trough,West Rajasthan ; Marathwada ; West Madhya Pradesh ; East Madhya Pradesh,the upper air cyclonic circulation over northwest rajasthan ; marathwada ; madhya pradesh & vidarbha,,0.9,925 hPa,
2025-06-13,AIWS 20250613.docx,CYCIR,Coastal Andhra Pradesh,north coastal andhra pradesh,,5.8,500 hPa,extended
2025-06-13,AIWS 20250613.docx,Trough,Coastal Andhra Pradesh ; Coastal Karnataka ; North Interior Karnataka ; South Interior Karnataka,"north coastal andhra pradesh ; coastal karnataka ; cyclonic circulation over southwest telangana, interior karnataka today morning",,3.1,700 hPa,persisted
2025-06-13,AIWS 20250613.docx,WD,Central Pakistan ; Pakistan,West Pakistan ; South Pakistan,along long. 66°e to the north of lat. 28°n,5.8,500 hPa,
2025-06-14,AIWS 20250614.docx,CYCIR,West Rajasthan,northwest rajasthan,,1.5,850 hPa,extended
2025-06-14,AIWS 20250614.docx,Trough,West Rajasthan ; Madhya Maharashtra ; Gujarat Region,the upper air cyclonic circulation over northwest rajasthan ; marathwada ran from the upper air cyclonic circulation over west rajasthan & adjoining pakistan to north madhya maharashtra ; gujarat region,,1.5,850 hPa,
2025-06-14,AIWS 20250614.docx,CYCIR,North Interior Karnataka,north interior karnataka,,5.8,500 hPa,extended
2025-06-14,AIWS 20250614.docx,Trough,NW Arabian Sea ; NE Arabian Sea ; WC Arabian Sea ; EC Arabian Sea ; Coastal Andhra Pradesh ; Telangana,westcentral arabian sea ; south coastal odisha ran from the upper air cyclonic circulation over marathwada & neighbourhood to coastal andhra pradesh ; telangana between 3,,3.1-5.8,700 hPa ; 600 hPa ; 500 hPa,
2025-06-14,AIWS 20250614.docx,WD,Pakistan ; West Rajasthan ; North pakistan ; Central Pakistan,Central Pakistan ; West Rajasthan ; North Pakistan ; South Pakistan ; West Pakistan,along long. 70°e to the north of lat. 26°n,5.8,500 hPa,
2025-06-14,AIWS 20250614.docx,CYCIR,Odisha,north odisha & neighbourhood,,3.1-5.8,700 hPa ; 600 hPa ; 500 hPa,lay over
2025-06-14,AIWS 20250614.docx,CYCIR,Coastal Andhra Pradesh,westcentral bay of bengal off north coastal andhra pradesh coast,,5.8,500 hPa,lay over
2025-06-14,AIWS 20250614.docx,CYCIR,NW Bay ; NE Bay,south bangladesh & adjoining north bay of bengal,,3.1,700 hPa,lay over
2025-06-14,AIWS 20250614.docx,Trough,NW Bay ; NE Bay ; Odisha,the cyclonic circulation over south bangladesh & adjoining north bay of bengal ; south odisha,,3.1,700 hPa,
2025-06-14,AIWS 20250614.docx,CYCIR,Assam & Meghalaya,central assam & neighbourhood,,0.9,925 hPa,lay over
2025-06-15,AIWS 20250615.docx,CYCIR,NW Bay ; NE Bay,south bangladesh & adjoining north bay of bengal,,3.1-7.6,700 hPa ; 600 hPa ; 500 hPa ; 400 hPa,lay over
2025-06-15,AIWS 20250615.docx,CYCIR,Coastal Andhra Pradesh,westcentral bay of bengal off north coastal andhra pradesh coast,,5.8,500 hPa,merged
2025-06-15,AIWS 20250615.docx,CYCIR,Marathwada,marathwada,,7.6,400 hPa,extended
2025-06-15,AIWS 20250615.docx,Trough,East Madhya Pradesh ; Bangladesh ; Gangetic West Bengal,"east madhya pradesh ; bangladesh ; chhattisgarh, jharkhand & gangetic west bengal and extended upto 1",,1.5,850 hPa,extended
2025-06-15,AIWS 20250615.docx,CYCIR,Assam & Meghalaya,central assam & neighbourhood,,4.5,600 hPa,persisted
2025-06-15,AIWS 20250615.docx,CYCIR,West Rajasthan,west rajasthan & adjoining pakistan,,1.5,850 hPa,extended
2025-06-15,AIWS 20250615.docx,Trough,West Rajasthan ; West Madhya Pradesh,the upper air cyclonic circulation over west rajasthan & adjoining pakistan ; north madhya maharashtra ran from the upper air cyclonic circulation over north rajasthan & neighbourhood to west madhya pradesh,,1.5,850 hPa,
2025-06-15,AIWS 20250615.docx,CYCIR,Himachal Pradesh,south himachal pradesh & adjoining north uttarakhand,,1.5,850 hPa,lay over
2025-06-15,AIWS 20250615.docx,CYCIR,East Uttar Pradesh,east uttar pradesh & neighbourhood,,0.9,925 hPa,lay over
2025-06-15,AIWS 20250615.docx,WD,Pakistan ; West Rajasthan ; North pakistan ; Central Pakistan,Central Pakistan ; West Rajasthan ; North Pakistan ; South Pakistan ; West Pakistan,along long. 70°e to the north of lat. 26°n,5.8,500 hPa,
2025-06-16,AIWS 20250616.docx,CYCIR,NW Bay,northwest bay of bengal & neighbourhood,,1.5-5.8,850 hPa ; 700 hPa ; 600 hPa ; 500 hPa,persisted
2025-06-16,AIWS 20250616.docx,CYCIR,West Rajasthan,north rajasthan,,0.9,925 hPa,lay over
2025-06-16,AIWS 20250616.docx,CYCIR,Himachal Pradesh,south himachal pradesh & adjoining north uttarakhand,,3.1,700 hPa,lay over
2025-06-16,AIWS 20250616.docx,WD,Pakistan ; West Rajasthan ; North pakistan ; Central Pakistan,Central Pakistan ; West Rajasthan ; North Pakistan ; South Pakistan ; West Pakistan,along long. 70°e to the north of lat. 26°n,5.8,500 hPa,
2025-06-16,AIWS 20250616.docx,CYCIR,Assam & Meghalaya,northeast assam & neighbourhood and extended upto 1,,1.5,850 hPa,extended
2025-06-16,AIWS 20250616.docx,CYCIR,Madhya Maharashtra,south madhya maharashtra & neighbourhood,,7.6,400 hPa,extended
2025-06-17,AIWS 20250617.docx,Trough,West Madhya Pradesh ; East Madhya Pradesh,gujarat region & neighbourhood to jharkhand across madhya pradesh & north chhattisgarh,,0.9,925 hPa,
2025-06-17,AIWS 20250617.docx,WD,North pakistan ; Jammu & Kashmir ; Central Pakistan ; Punjab,North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab,along long. 72°e to the north of lat. 30°n,5.8,500 hPa,
2025-06-17,AIWS 20250617.docx,CYCIR,Assam & Meghalaya,northeast assam & neighbourhood extending upto 1,,1.5,850 hPa,persisted
2025-06-18,AIWS 20250618.docx,Trough,Punjab ; Gujarat Region ; West Rajasthan ; East Rajasthan,punjab ; north gujarat region ; the cyclonic circulation over central parts of rajasthan between 3,,3.1-5.8,700 hPa ; 600 hPa ; 500 hPa,
2025-06-18,AIWS 20250618.docx,WD,Punjab,punjab & neighbourhood,,3.1-4.6,700 hPa ; 600 hPa,persisted
2025-06-18,AIWS 20250618.docx,CYCIR,West Uttar Pradesh ; East Uttar Pradesh,central parts of uttar pradesh & neighbourhood,,3.1-5.8,700 hPa ; 600 hPa ; 500 hPa,lay over
2025-06-19,AIWS 20250619.docx,CYCIR,East Rajasthan,northeast rajasthan & neighbourhood,,4.5,600 hPa,persisted
2025-06-19,AIWS 20250619.docx,Trough,Punjab ; West Uttar Pradesh,punjab ; north gujarat region ran from northwest uttar pradesh to northeast gujarat region,,3.1-5.8,700 hPa ; 600 hPa ; 500 hPa,persisted
2025-06-19,AIWS 20250619.docx,WD,Punjab,punjab & neighbourhood,,5.8,500 hPa,persisted
2025-06-20,AIWS 20250620.docx,CYCIR,East Rajasthan,northeast rajasthan & neighbourhood,,5.8,500 hPa,persisted
2025-06-20,AIWS 20250620.docx,Trough,Punjab ; West Uttar Pradesh ; East Rajasthan,punjab ; north gujarat region from northwest uttar pradesh to north gujarat region ; the cyclonic circulation over northeast rajasthan & neighbourhood,,0.9-1.5,925 hPa ; 850 hPa,persisted
2025-06-21,AIWS 20250621.docx,CYCIR,East Rajasthan,northeast rajasthan & neighbourhood,,1.5,850 hPa,persisted
2025-06-21,AIWS 20250621.docx,Trough,West Uttar Pradesh ; Bangladesh ; West Madhya Pradesh ; East Madhya Pradesh,northwest uttar pradesh ; north gujarat region ran from northeast bangladesh to south gujarat region ; cyclonic circulation associated with low pressure area over southwest bihar and central parts of madhya pradesh,,3.1,700 hPa,
2025-06-21,AIWS 20250621.docx,CYCIR,Assam & Meghalaya,central parts of assam,,1.5,850 hPa,lay over
2025-06-22,AIWS 20250622.docx,Trough,Central Pakistan ; Assam & Meghalaya,central pakistan ; central assam,,1.5-4.5,850 hPa ; 700 hPa ; 600 hPa,
2025-06-22,AIWS 20250622.docx,Trough,Gujarat Region ; Bangladesh,south gujarat region ; northeast bangladesh,,3.1,700 hPa,merged
2025-06-22,AIWS 20250622.docx,CYCIR,Assam & Meghalaya,northeast assam & neighbourhood,,0.9,925 hPa,lay over
2025-06-23,AIWS 20250623.docx,Trough,West Uttar Pradesh ; East Uttar Pradesh ; NW Bay ; East Madhya Pradesh,"above cyclonic circulation over central parts of south uttar pradesh ; northwest bay of bengal ; northeast madhya pradesh, jharkhand & north odisha and extends upto 1",,1.5,850 hPa,
2025-06-23,AIWS 20250623.docx,Trough,Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Bihar ; Jharkhand ; Sikkim ; Odisha,Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Bihar ; Jharkhand ; Odisha,along long. 87°e to the north of lat. 21°n,3.1,700 hPa,
2025-06-23,AIWS 20250623.docx,CYCIR,Saurashtra & Kutch,saurashtra & kutch,,3.1,700 hPa,lay over
2025-06-23,AIWS 20250623.docx,CYCIR,Assam & Meghalaya,northeast assam & neighbourhood,,1.5,850 hPa,persisted
2025-06-24,AIWS 20250624.docx,CYCIR,West Uttar Pradesh ; East Uttar Pradesh,central parts of south uttar pradesh extending upto 5,,5.8,500 hPa,persisted
2025-06-24,AIWS 20250624.docx,Trough,West Uttar Pradesh ; East Uttar Pradesh ; NW Bay ; East Madhya Pradesh,"the cyclonic circulation over central parts of south uttar pradesh ; northwest bay of bengal ; northeast madhya pradesh, jharkhand & north odisha extending upto 1",,1.5,850 hPa,persisted
2025-06-24,AIWS 20250624.docx,Trough,Punjab ; Bangladesh ; West Uttar Pradesh ; East Uttar Pradesh,punjab ; north bangladesh ; the cyclonic circulation over central parts of south uttar pradesh,,0.9,925 hPa,
2025-06-24,AIWS 20250624.docx,CYCIR,Jharkhand,south jharkhand & neighbourhood,,3.1-7.6,700 hPa ; 600 hPa ; 500 hPa ; 400 hPa,lay over
2025-06-24,AIWS 20250624.docx,Trough,NW Arabian Sea ; NE Arabian Sea ; WC Arabian Sea ; EC Arabian Sea ; Jharkhand,northeast arabian sea ; the above cyclonic circulation over south jharkhand & neighbourhood,,3.1,700 hPa,
2025-06-24,AIWS 20250624.docx,CYCIR,Assam & Meghalaya,northeast assam & neighbourhood,,0.9,925 hPa,lay over
2025-06-25,AIWS 20250625.docx,CYCIR,West Uttar Pradesh ; East Uttar Pradesh,central parts of south uttar pradesh,,5.8,500 hPa,persisted
2025-06-25,AIWS 20250625.docx,CYCIR,NW Bay,northwest bay of bengal,,7.6,400 hPa,persisted
2025-06-25,AIWS 20250625.docx,Trough,NW Arabian Sea ; NE Arabian Sea ; WC Arabian Sea ; EC Arabian Sea ; NW Bay,northeast arabian sea ; the cyclonic circulation over south jharkhand & neighbourhood ran from northeast arabian sea to the cyclonic circulation over northwest bay of bengal and adjoining north odisha-west bengal coasts,,3.1-5.8,700 hPa ; 600 hPa ; 500 hPa,extended
2025-06-26,AIWS 20250626.docx,Trough,NW Arabian Sea ; NE Arabian Sea ; WC Arabian Sea ; EC Arabian Sea ; NW Bay ; West Madhya Pradesh ; East Madhya Pradesh,"northeast arabian sea ; the cyclonic circulation over northeast madhya pradesh ran from northeast arabian sea to low pressure area over northwest bay of bengal and adjoining coastal areas of odisha and west bengal ; south gujarat, madhya pradesh, chhattisgarh & extended between 1",,1.5-7.6,850 hPa ; 700 hPa ; 600 hPa ; 500 hPa ; 400 hPa,extended
2025-06-26,AIWS 20250626.docx,CYCIR,East Madhya Pradesh,central parts of northeast madhya pradesh,,0.9,925 hPa,persisted
2025-06-27,AIWS 20250627.docx,CYCIR,West Rajasthan,southwest rajasthan,,5.8,500 hPa,persisted
2025-06-27,AIWS 20250627.docx,Trough,NW Arabian Sea ; NE Arabian Sea ; WC Arabian Sea ; EC Arabian Sea ; Odisha ; Madhya Maharashtra,"southeast arabian sea ; odisha ; south gujarat, northern parts of madhya maharashtra, vidarbha, chhattisgarh between 4",,4.5-5.8,600 hPa ; 500 hPa,merged
2025-06-28,AIWS 20250628.docx,CYCIR,NW Arabian Sea ; NE Arabian Sea ; WC Arabian Sea ; EC Arabian Sea,saurashtra & kutch & adjoining northeast arabian sea and extended upto middle tropospheric level tilting southwestwards with height,,0.0,Surface,extended
2025-06-28,AIWS 20250628.docx,CYCIR,Gangetic West Bengal,southwest bangladesh & adjoining gangetic west bengal and extended upto 4,,4.5,600 hPa,persisted
2025-06-28,AIWS 20250628.docx,CYCIR,Assam & Meghalaya,northeast assam,,0.9,925 hPa,lay over
2025-06-29,AIWS 20250629.docx,Trough,West Rajasthan ; NW Bay ; West Madhya Pradesh ; East Madhya Pradesh,"the upper air cyclonic circulation over south rajasthan & adjoining north gujarat ; the cyclonic circulation associated with the low-pressure area over northwest bay of bengal and adjoining west bengal and bangladesh coasts ; madhya pradesh, north chhattisgarh and north odisha between 3",,3.1-5.8,700 hPa ; 600 hPa ; 500 hPa,
2025-06-29,AIWS 20250629.docx,CYCIR,"Haryana, Chandigarh & Delhi",north haryana & neighbourhood and extended upto 1,,1.5,850 hPa,extended
2025-06-29,AIWS 20250629.docx,CYCIR,NW Arabian Sea ; NE Arabian Sea ; WC Arabian Sea ; EC Arabian Sea,central parts of north arabian sea and extended upto 5,,5.8,500 hPa,extended
2025-06-30,AIWS 20250630.docx,Trough,West Uttar Pradesh ; Gangetic West Bengal,"southwest uttar pradesh ; the cyclonic circulation associated with the low-pressure area over coastal gangetic west bengal & neighbourhood ; southeast uttar pradesh, jharkhand, and gangetic west bengal and neighbourhood extended between 0",,3.1,700 hPa,extended
2025-06-30,AIWS 20250630.docx,CYCIR,West Uttar Pradesh ; East Uttar Pradesh,central parts of south uttar pradesh merged with the above trough,,0.0,Surface,merged
2025-06-30,AIWS 20250630.docx,CYCIR,West Rajasthan,south rajasthan & adjoining north gujarat,,3.1,700 hPa,persisted
2026-05-01,AIWS 20260501.docx,WD,Jammu & Kashmir,kashmir & neighbourhood,,5.8,500 hPa,persisted
2026-05-01,AIWS 20260501.docx,WD,Iran,along long. 55°e to the north of lat. 30°n,,0.0,Surface,
