date,source_file,weather_system,region,height_km,pressure_level,status
,AIWS 20250602.docx,Cyclonic Circulation (CYCIR),coastal,0.0,,
2025-06-03,AIWS 20250603.docx,Western Disturbances (WD),north pakistan & adjoining jammu lay over punjab & neighbourhood between 3.1 & 4.5 km above m.,0.0,,lay over
2025-06-03,AIWS 20250603.docx,Trough,,5.8,,
2025-06-03,AIWS 20250603.docx,Trough,north pakistan & adjoining jammu lay over punjab & neighbourhood between 3.1 & 4.5 km above m.,0.0,,persisted
2025-06-03,AIWS 20250603.docx,Cyclonic Circulation (CYCIR),haryana & neighbourhood lay over northwest uttar pradesh,1.5,,lay over
2025-06-03,AIWS 20250603.docx,Cyclonic Circulation (CYCIR),haryana & neighbourhood lay over northwest uttar pradesh,1.5,,persisted
2025-06-03,AIWS 20250603.docx,Trough,long.,0.0,,
2025-06-03,AIWS 20250603.docx,Cyclonic Circulation (CYCIR),east bihar,0.9,,lay over
2025-06-03,AIWS 20250603.docx,Cyclonic Circulation (CYCIR),haryana,0.9,,lay over
2025-06-03,AIWS 20250603.docx,Cyclonic Circulation (CYCIR),east bihar & neighbourhood,0.0,,became less marked
2025-06-03,AIWS 20250603.docx,Trough,,0.0,,became less marked
2025-06-03,AIWS 20250603.docx,Trough,coastal,0.0,,
2025-06-04,AIWS 20250604.docx,Western Disturbances (WD),punjab & neighbourhood lay as trough in middle & upper tropospheric levels,5.8,,
2025-06-04,AIWS 20250604.docx,Cyclonic Circulation (CYCIR),south punjab & neighbourhood,1.5,,lay over
2025-06-04,AIWS 20250604.docx,Cyclonic Circulation (CYCIR),north bangladesh & neighbourhood,0.9,,lay over
2025-06-04,AIWS 20250604.docx,Cyclonic Circulation (CYCIR),northeast assam & neighbourhood,0.9,,lay over
2025-06-04,AIWS 20250604.docx,Cyclonic Circulation (CYCIR),south gujarat & neighbourhood between 1.5 & 3.1 km above m.,0.0,,lay over
2025-06-04,AIWS 20250604.docx,Trough,long.,0.0,,
2025-06-04,AIWS 20250604.docx,Cyclonic Circulation (CYCIR),northwest uttar pradesh,0.0,,became less marked
2025-06-04,AIWS 20250604.docx,Trough,long.,0.0,,
2025-06-04,AIWS 20250604.docx,Cyclonic Circulation (CYCIR),east bihar,0.0,,became less marked
2025-06-04,AIWS 20250604.docx,Cyclonic Circulation (CYCIR),haryana,0.0,,became less marked
2025-06-05,AIWS 20250605.docx,Western Disturbances (WD),,5.8,,
2025-06-05,AIWS 20250605.docx,Cyclonic Circulation (CYCIR),south punjab & neighbourhood lay over south haryana & neighbourhood,1.5,,lay over
2025-06-05,AIWS 20250605.docx,Cyclonic Circulation (CYCIR),north bangladesh & neighbourhood,0.9,,
2025-06-05,AIWS 20250605.docx,Trough,long.,0.0,,
2025-06-05,AIWS 20250605.docx,Cyclonic Circulation (CYCIR),central pakistan & adjoining northwest rajasthan,0.9,,lay over
2025-06-05,AIWS 20250605.docx,Cyclonic Circulation (CYCIR),central pakistan & adjoining northwest rajasthan,0.0,,persisted
2025-06-05,AIWS 20250605.docx,Cyclonic Circulation (CYCIR),"jharkhand & adjoining south bihar, northern parts of west bengal",1.5,,
2025-06-05,AIWS 20250605.docx,Cyclonic Circulation (CYCIR),"jharkhand & adjoining south bihar, northern parts of west bengal",0.0,,persisted
2025-06-05,AIWS 20250605.docx,Cyclonic Circulation (CYCIR),jharkhand & adjoining south bihar,1.5,,
2025-06-05,AIWS 20250605.docx,Trough,,0.0,,merged
2025-06-05,AIWS 20250605.docx,Cyclonic Circulation (CYCIR),north interior karnataka & adjoining marathwada,0.0,,
2025-06-05,AIWS 20250605.docx,Cyclonic Circulation (CYCIR),north interior karnataka & adjoining marathwada,0.0,,persisted
2025-06-05,AIWS 20250605.docx,Cyclonic Circulation (CYCIR),south gujarat & neighbourhood,0.0,,became less marked
2025-06-05,AIWS 20250605.docx,Cyclonic Circulation (CYCIR),northeast assam & neighbourhood,0.0,,became less marked
2025-06-05,AIWS 20250605.docx,Cyclonic Circulation (CYCIR),haryana & neighbourhood,1.5,,lay over
2025-06-05,AIWS 20250605.docx,Cyclonic Circulation (CYCIR),,0.0,,became less marked
2025-06-06,AIWS 20250606.docx,Trough,,5.8,,
2025-06-06,AIWS 20250606.docx,Cyclonic Circulation (CYCIR),central pakistan & adjoining northwest rajasthan lay over northwest rajasthan & neighbourhood,0.9,,lay over
2025-06-06,AIWS 20250606.docx,Cyclonic Circulation (CYCIR),north interior karnataka & adjoining marathwada,3.1,,lay over
2025-06-06,AIWS 20250606.docx,Trough,north interior karnataka,1.5,,
2025-06-06,AIWS 20250606.docx,Cyclonic Circulation (CYCIR),northwest uttar pradesh & neighbourhood,0.0,,extended
2025-06-06,AIWS 20250606.docx,Cyclonic Circulation (CYCIR),northeast assam & neighbourhood,0.0,,extended
2025-06-06,AIWS 20250606.docx,Western Disturbances (WD),,5.8,,
2025-06-06,AIWS 20250606.docx,Trough,,0.0,,became less marked
2025-06-06,AIWS 20250606.docx,Cyclonic Circulation (CYCIR),south haryana & neighbourhood,0.0,,became less marked
2025-06-06,AIWS 20250606.docx,Cyclonic Circulation (CYCIR),north bangladesh & neighbourhood,0.0,,became less marked
2025-06-06,AIWS 20250606.docx,Trough,long.,0.0,,
2025-06-06,AIWS 20250606.docx,Cyclonic Circulation (CYCIR),jharkhand & adjoining south bihar,0.0,,became less marked
2025-06-07,AIWS 20250607.docx,Cyclonic Circulation (CYCIR),northwest rajasthan & neighbourhood,0.9,,
2025-06-07,AIWS 20250607.docx,Cyclonic Circulation (CYCIR),northwest uttar pradesh & neighbourhood,1.5,,persisted
2025-06-07,AIWS 20250607.docx,Cyclonic Circulation (CYCIR),northeast madhya pradesh & neighbourhood,0.0,,extended
2025-06-07,AIWS 20250607.docx,Trough,,1.5,,
2025-06-07,AIWS 20250607.docx,Trough,long.,0.0,,
2025-06-07,AIWS 20250607.docx,Cyclonic Circulation (CYCIR),northeast assam & neighbourhood,0.9,,persisted
2025-06-07,AIWS 20250607.docx,Western Disturbances (WD),,5.8,,
2025-06-07,AIWS 20250607.docx,Trough,north interior karnataka,0.0,,became less marked
2025-06-07,AIWS 20250607.docx,Cyclonic Circulation (CYCIR),north interior karnataka & neighbourhood also,0.0,,became less marked
2025-06-09,AIWS 20250609.docx,Cyclonic Circulation (CYCIR),haryana & neighbourhood lay over northwest uttar pradesh,0.0,,extended
2025-06-09,AIWS 20250609.docx,Cyclonic Circulation (CYCIR),haryana & neighbourhood lay over northwest uttar pradesh,0.0,,persisted
2025-06-09,AIWS 20250609.docx,Cyclonic Circulation (CYCIR),northwest uttar pradesh,0.0,,
2025-06-09,AIWS 20250609.docx,Cyclonic Circulation (CYCIR),northwest uttar pradesh,0.9,,
2025-06-09,AIWS 20250609.docx,Western Disturbances (WD),,5.8,,
2025-06-09,AIWS 20250609.docx,Cyclonic Circulation (CYCIR),southeast & adjoining eastcentral bay of bengal,0.0,,persisted
2025-06-09,AIWS 20250609.docx,Trough,interior karnataka between 3.1 & 4.5 km above m.,0.0,,
2025-06-09,AIWS 20250609.docx,Cyclonic Circulation (CYCIR),northwest bay of bengal,0.0,,lay over
2025-06-09,AIWS 20250609.docx,Cyclonic Circulation (CYCIR),north chhattisgarh,1.5,,
2025-06-09,AIWS 20250609.docx,Cyclonic Circulation (CYCIR),,0.0,,became less marked
2025-06-09,AIWS 20250609.docx,Cyclonic Circulation (CYCIR),southeast himachal pradesh & adjoining uttarakhand,0.0,,became less marked
2025-06-09,AIWS 20250609.docx,Cyclonic Circulation (CYCIR),central pakistan & neighbourhood,0.0,,became less marked
2025-06-09,AIWS 20250609.docx,Trough,long.,0.0,,
2025-06-09,AIWS 20250609.docx,Cyclonic Circulation (CYCIR),east bangladesh & neighbourhood,0.0,,became less marked
2025-06-09,AIWS 20250609.docx,Western Disturbances (WD),ladakh & adjoining kashmir,0.0,,became less marked
2025-06-10,AIWS 20250610.docx,Cyclonic Circulation (CYCIR),northwest uttar pradesh,0.9,,
2025-06-10,AIWS 20250610.docx,Trough,interior karnataka lay as a shear zone roughly along lat.,0.0,,
2025-06-10,AIWS 20250610.docx,Cyclonic Circulation (CYCIR),northwest uttar pradesh,1.5,,lay over
2025-06-10,AIWS 20250610.docx,Cyclonic Circulation (CYCIR),northwest bay of bengal,0.0,,lay over
2025-06-10,AIWS 20250610.docx,Western Disturbances (WD),,5.8,,
2025-06-10,AIWS 20250610.docx,Cyclonic Circulation (CYCIR),north chhattisgarh,0.9,,lay over
2025-06-10,AIWS 20250610.docx,Cyclonic Circulation (CYCIR),north pakistan & neighborhood off punjab,1.5,,lay over
2025-06-10,AIWS 20250610.docx,Cyclonic Circulation (CYCIR),central parts of south uttar pradesh & neighborhood,1.5,,lay over
2025-06-10,AIWS 20250610.docx,Cyclonic Circulation (CYCIR),southeast & adjoining eastcentral bay of bengal lay over central parts of bay of bengal between 5.8 & 7.6 km above m.,0.0,,lay over
2025-06-10,AIWS 20250610.docx,Cyclonic Circulation (CYCIR),,0.0,,became less marked
2025-06-11,AIWS 20250611.docx,Cyclonic Circulation (CYCIR),westcentral bay of bengal off north coastal,0.0,,extended
2025-06-11,AIWS 20250611.docx,Cyclonic Circulation (CYCIR),"westcentral bay of bengal across madhya pradesh, chhattisgarh",0.9,,
2025-06-11,AIWS 20250611.docx,Cyclonic Circulation (CYCIR),central parts of south uttar pradesh lay over southeast uttar pradesh & neighbourhood today morning.,0.0,,lay over
2025-06-11,AIWS 20250611.docx,Cyclonic Circulation (CYCIR),over east uttar pradesh,0.0,,extended
2025-06-11,AIWS 20250611.docx,Cyclonic Circulation (CYCIR),north haryana & chandigarh,0.9,,
2025-06-11,AIWS 20250611.docx,Western Disturbances (WD),,5.8,,
2025-06-11,AIWS 20250611.docx,Western Disturbances (WD),,0.0,,
2025-06-11,AIWS 20250611.docx,Cyclonic Circulation (CYCIR),north pakistan & neighborhood off punjab,0.0,,became less marked
2025-06-11,AIWS 20250611.docx,Cyclonic Circulation (CYCIR),north chhattisgarh lay over east madhya pradesh,0.9,,lay over
2025-06-11,AIWS 20250611.docx,Cyclonic Circulation (CYCIR),,0.0,,became less marked
2025-06-11,AIWS 20250611.docx,Cyclonic Circulation (CYCIR),north odisha & neighbourhood,0.0,,became less marked
2025-06-11,AIWS 20250611.docx,Trough,interior karnataka lay as a shear zone roughly along lat.,0.0,,
2025-06-11,AIWS 20250611.docx,Western Disturbances (WD),,5.8,,
2025-06-11,AIWS 20250611.docx,Cyclonic Circulation (CYCIR),northwest uttar pradesh,0.9,,
2025-06-11,AIWS 20250611.docx,Cyclonic Circulation (CYCIR),,0.0,,became less marked
2025-06-11,AIWS 20250611.docx,Cyclonic Circulation (CYCIR),bihar,0.0,,became less marked
2025-06-11,AIWS 20250611.docx,Cyclonic Circulation (CYCIR),"arunachal pradesh, assam & meghalaya",0.0,,
2025-06-12,AIWS 20250612.docx,Cyclonic Circulation (CYCIR),punjab & neighbourhood,0.9,,lay over
2025-06-12,AIWS 20250612.docx,Cyclonic Circulation (CYCIR),"haryana, west madhya pradesh",0.9,,
2025-06-12,AIWS 20250612.docx,Cyclonic Circulation (CYCIR),west uttar pradesh & neighbourhood,1.5,,lay over
2025-06-12,AIWS 20250612.docx,Cyclonic Circulation (CYCIR),west rajasthan & neighbourhood between 1.5 & 3.1 km above m.,0.0,,lay over
2025-06-12,AIWS 20250612.docx,Cyclonic Circulation (CYCIR),westcentral bay of bengal off north coastal,0.0,,extended
2025-06-12,AIWS 20250612.docx,Cyclonic Circulation (CYCIR),"chhattisgarh, marathwada, interior karnataka between 3.1 km to 5.8 km above m.",0.0,,
2025-06-12,AIWS 20250612.docx,Western Disturbances (WD),,5.8,,
2025-06-12,AIWS 20250612.docx,Cyclonic Circulation (CYCIR),east uttar pradesh,0.0,,became less marked
2025-06-12,AIWS 20250612.docx,Cyclonic Circulation (CYCIR),north haryana & chandigarh lay over haryana of yesterday evening.,0.0,,lay over
2025-06-12,AIWS 20250612.docx,Cyclonic Circulation (CYCIR),,0.0,,became less marked
2025-06-12,AIWS 20250612.docx,Cyclonic Circulation (CYCIR),"arunachal pradesh, assam & meghalaya",0.0,,
2025-06-13,AIWS 20250613.docx,Cyclonic Circulation (CYCIR),northwest rajasthan,0.9,,lay over
2025-06-13,AIWS 20250613.docx,Cyclonic Circulation (CYCIR),northwest rajasthan to marathwada across madhya pradesh & vidarbha,0.9,,
2025-06-13,AIWS 20250613.docx,Cyclonic Circulation (CYCIR),north coastal,0.0,,lay over
2025-06-13,AIWS 20250613.docx,Cyclonic Circulation (CYCIR),north interior karnataka,0.0,,extended
2025-06-13,AIWS 20250613.docx,Cyclonic Circulation (CYCIR),"southwest telangana, interior karnataka today morning.",0.0,,
2025-06-13,AIWS 20250613.docx,Cyclonic Circulation (CYCIR),north interior karnataka & adjoining telangana & rayalaseema,3.1,,
2025-06-13,AIWS 20250613.docx,Western Disturbances (WD),,5.8,,
2025-06-13,AIWS 20250613.docx,Cyclonic Circulation (CYCIR),punjab & neighbourhood,0.0,,became less marked
2025-06-13,AIWS 20250613.docx,Cyclonic Circulation (CYCIR),west uttar pradesh & neighbourhood,0.0,,became less marked
2025-06-13,AIWS 20250613.docx,Cyclonic Circulation (CYCIR),west rajasthan & neighbourhood,0.0,,became less marked
2025-06-13,AIWS 20250613.docx,Cyclonic Circulation (CYCIR),"arunachal pradesh, assam & meghalaya",0.0,,
2025-06-14,AIWS 20250614.docx,Cyclonic Circulation (CYCIR),northwest rajasthan lay over west rajasthan & adjoining pakistan,0.0,,extended
2025-06-14,AIWS 20250614.docx,Cyclonic Circulation (CYCIR),northwest rajasthan to marathwada ran from the upper air cyclonic circulation over west rajasthan & adjoining pakistan to north madhya maharashtra across gujarat region,1.5,,
2025-06-14,AIWS 20250614.docx,Cyclonic Circulation (CYCIR),north interior karnataka,0.0,,extended
2025-06-14,AIWS 20250614.docx,Cyclonic Circulation (CYCIR),marathwada & neighbourhood to coastal,0.0,,
2025-06-14,AIWS 20250614.docx,Western Disturbances (WD),,5.8,,
2025-06-14,AIWS 20250614.docx,Cyclonic Circulation (CYCIR),north odisha & neighbourhood between 3.1 & 5.8 km above m.,0.0,,lay over
2025-06-14,AIWS 20250614.docx,Cyclonic Circulation (CYCIR),westcentral bay of bengal off north coastal,5.8,,lay over
2025-06-14,AIWS 20250614.docx,Cyclonic Circulation (CYCIR),south bangladesh & adjoining north bay of bengal,3.1,,lay over
2025-06-14,AIWS 20250614.docx,Cyclonic Circulation (CYCIR),south bangladesh & adjoining north bay of bengal to south odisha,3.1,,
2025-06-14,AIWS 20250614.docx,Cyclonic Circulation (CYCIR),central assam & neighbourhood,0.9,,lay over
2025-06-14,AIWS 20250614.docx,Cyclonic Circulation (CYCIR),assam & meghalaya.,0.0,,
2025-06-15,AIWS 20250615.docx,Cyclonic Circulation (CYCIR),south bangladesh & adjoining north bay of bengal lay over northwest bay of bengal & neighbourhood between 3.1 & 7.6 km above m.,0.0,,lay over
2025-06-15,AIWS 20250615.docx,Cyclonic Circulation (CYCIR),westcentral bay of bengal off north coastal,5.8,,
2025-06-15,AIWS 20250615.docx,Cyclonic Circulation (CYCIR),northwest bay of bengal & neighbourhood.,0.0,,merged
2025-06-15,AIWS 20250615.docx,Cyclonic Circulation (CYCIR),marathwada lay over south madhya maharashtra & neighbourhood,0.0,,extended
2025-06-15,AIWS 20250615.docx,Trough,"chhattisgarh, jharkhand & gangetic west bengal",0.0,,extended
2025-06-15,AIWS 20250615.docx,Cyclonic Circulation (CYCIR),central assam & neighbourhood,4.5,,persisted
2025-06-15,AIWS 20250615.docx,Cyclonic Circulation (CYCIR),west rajasthan & adjoining pakistan lay over north rajasthan & neighbourhood,0.0,,extended
2025-06-15,AIWS 20250615.docx,Cyclonic Circulation (CYCIR),west rajasthan & adjoining pakistan to north madhya maharashtra ran from the upper air cyclonic circulation over north rajasthan & neighbourhood to west madhya pradesh,1.5,,
2025-06-15,AIWS 20250615.docx,Cyclonic Circulation (CYCIR),south himachal pradesh & adjoining north uttarakhand,1.5,,lay over
2025-06-15,AIWS 20250615.docx,Cyclonic Circulation (CYCIR),east uttar pradesh & neighbourhood,0.9,,lay over
2025-06-15,AIWS 20250615.docx,Western Disturbances (WD),,5.8,,
2025-06-15,AIWS 20250615.docx,Cyclonic Circulation (CYCIR),marathwada & neighbourhood to coastal,0.0,,became less marked
2025-06-15,AIWS 20250615.docx,Cyclonic Circulation (CYCIR),south bangladesh & adjoining north bay of bengal to south odisha,0.0,,became less marked
2025-06-15,AIWS 20250615.docx,Cyclonic Circulation (CYCIR),rayalaseema.,0.0,,
2025-06-16,AIWS 20250616.docx,Cyclonic Circulation (CYCIR),northwest bay of bengal & neighbourhood,0.0,,persisted
2025-06-16,AIWS 20250616.docx,Cyclonic Circulation (CYCIR),north rajasthan lay over south punjab & neighbourhood,0.9,,lay over
2025-06-16,AIWS 20250616.docx,Cyclonic Circulation (CYCIR),south himachal pradesh & adjoining north uttarakhand lay over northeast punjab & neighbourhood,3.1,,lay over
2025-06-16,AIWS 20250616.docx,Western Disturbances (WD),,5.8,,
2025-06-16,AIWS 20250616.docx,Cyclonic Circulation (CYCIR),northeast assam & neighbourhood,0.0,,extended
2025-06-16,AIWS 20250616.docx,Cyclonic Circulation (CYCIR),south madhya maharashtra & neighbourhood lay over central parts of konkan,0.0,,lay over
2025-06-16,AIWS 20250616.docx,Cyclonic Circulation (CYCIR),south gujarat & neighbourhood,0.0,,extended
2025-06-16,AIWS 20250616.docx,Cyclonic Circulation (CYCIR),south madhya maharashtra & neighbourhood lay over central parts of konkan,0.0,,
2025-06-16,AIWS 20250616.docx,Trough,"chhattisgarh, jharkhand & gangetic west bengal",0.0,,extended
2025-06-16,AIWS 20250616.docx,Cyclonic Circulation (CYCIR),central assam & neighbourhood,0.0,,became less marked
2025-06-16,AIWS 20250616.docx,Cyclonic Circulation (CYCIR),north rajasthan & neighbourhood to west madhya pradesh,0.0,,became less marked
2025-06-16,AIWS 20250616.docx,Cyclonic Circulation (CYCIR),east uttar pradesh & neighbourhood,0.0,,became less marked
2025-06-16,AIWS 20250616.docx,Cyclonic Circulation (CYCIR),telangana.,0.0,,
2025-06-17,AIWS 20250617.docx,Low Pressure Area,"northwest bay of bengal & neighbourhood, a low pressure area formed over southwest bangladesh",0.0,,
2025-06-17,AIWS 20250617.docx,Low Pressure Area,"northwest bay of bengal & neighbourhood, a low pressure area formed over southwest bangladesh",0.0,,persisted
2025-06-17,AIWS 20250617.docx,Cyclonic Circulation (CYCIR),,0.0,,
2025-06-17,AIWS 20250617.docx,Cyclonic Circulation (CYCIR),gangetic west bengal & neighbourhood during next 24 hours.,0.0,,
2025-06-17,AIWS 20250617.docx,Low Pressure Area,"south gujarat & neighbourhood, a low pressure area formed over gujarat & neighbourhood",0.0,,
2025-06-17,AIWS 20250617.docx,Low Pressure Area,"south gujarat & neighbourhood, a low pressure area formed over gujarat & neighbourhood",0.0,,persisted
2025-06-17,AIWS 20250617.docx,Cyclonic Circulation (CYCIR),,0.0,,
2025-06-17,AIWS 20250617.docx,Cyclonic Circulation (CYCIR),,0.0,,
2025-06-17,AIWS 20250617.docx,Low Pressure Area,gujarat region & neighbourhood to jharkhand across madhya pradesh & north chhattisgarh,0.9,,
2025-06-17,AIWS 20250617.docx,Western Disturbances (WD),,5.8,,
2025-06-17,AIWS 20250617.docx,Cyclonic Circulation (CYCIR),northeast assam & neighbourhood extending upto 1.5 km above m.,0.0,,
2025-06-17,AIWS 20250617.docx,Cyclonic Circulation (CYCIR),south punjab & neighbourhood,0.0,,became less marked
2025-06-17,AIWS 20250617.docx,Cyclonic Circulation (CYCIR),northeast punjab & neighbourhood,0.0,,became less marked
2025-06-17,AIWS 20250617.docx,Cyclonic Circulation (CYCIR),marathwada,0.0,,
2025-06-18,AIWS 20250618.docx,Well Marked Low Pressure Area (WML),southwest bangladesh,0.0,,
2025-06-18,AIWS 20250618.docx,Well Marked Low Pressure Area (WML),southwest bangladesh,0.0,,persisted
2025-06-18,AIWS 20250618.docx,Cyclonic Circulation (CYCIR),,0.0,,
2025-06-18,AIWS 20250618.docx,Cyclonic Circulation (CYCIR),jharkhand during next 24 hours.,0.0,,
2025-06-18,AIWS 20250618.docx,Cyclonic Circulation (CYCIR),southeast rajasthan & neighbourhood,0.0,,lay over
2025-06-18,AIWS 20250618.docx,Cyclonic Circulation (CYCIR),central parts of rajasthan,0.0,,lay over
2025-06-18,AIWS 20250618.docx,Cyclonic Circulation (CYCIR),,0.0,,extended
2025-06-18,AIWS 20250618.docx,Cyclonic Circulation (CYCIR),central parts of rajasthan between 3.1 & 5.8 km above m.,0.0,,
2025-06-18,AIWS 20250618.docx,Western Disturbances (WD),punjab & neighbourhood between 3.1,0.0,,
2025-06-18,AIWS 20250618.docx,Trough,,5.8,,
2025-06-18,AIWS 20250618.docx,Cyclonic Circulation (CYCIR),central parts of uttar pradesh & neighbourhood between 3.1 & 5.8 km above m.,0.0,,lay over
2025-06-18,AIWS 20250618.docx,Cyclonic Circulation (CYCIR),southeast rajasthan & neighbourhood to jharkhand has become less marked.,0.0,,
2025-06-18,AIWS 20250618.docx,Cyclonic Circulation (CYCIR),northeast assam & neighbourhood,0.0,,became less marked
2025-06-18,AIWS 20250618.docx,Cyclonic Circulation (CYCIR),"marathwada, coastal",0.0,,
2025-06-19,AIWS 20250619.docx,Well Marked Low Pressure Area (WML),gangetic west bengal & neighbourhood lay over northeast jharkhand & adjoining gangetic west bengal,0.0,,lay over
2025-06-19,AIWS 20250619.docx,Well Marked Low Pressure Area (WML),gangetic west bengal & neighbourhood lay over northeast jharkhand & adjoining gangetic west bengal,0.0,,persisted
2025-06-19,AIWS 20250619.docx,Cyclonic Circulation (CYCIR),,0.0,,extended
2025-06-19,AIWS 20250619.docx,Cyclonic Circulation (CYCIR),,0.0,,
2025-06-19,AIWS 20250619.docx,Cyclonic Circulation (CYCIR),southwest rajasthan.,0.0,,lay over
2025-06-19,AIWS 20250619.docx,Cyclonic Circulation (CYCIR),southwest rajasthan.,0.0,,persisted
2025-06-19,AIWS 20250619.docx,Cyclonic Circulation (CYCIR),northeast rajasthan & neighbourhood,0.0,,lay over
2025-06-19,AIWS 20250619.docx,Cyclonic Circulation (CYCIR),northeast rajasthan & neighbourhood,0.0,,persisted
2025-06-19,AIWS 20250619.docx,Trough,,0.0,,
2025-06-19,AIWS 20250619.docx,Cyclonic Circulation (CYCIR),northeast rajasthan & neighbourhood between 3.1 & 5.8 km above m.,0.0,,
2025-06-19,AIWS 20250619.docx,Cyclonic Circulation (CYCIR),"northeast rajasthan, north madhya pradesh",0.9,,
2025-06-19,AIWS 20250619.docx,Trough,,0.0,,
2025-06-19,AIWS 20250619.docx,Western Disturbances (WD),punjab & neighbourhood lay as a trough in middle tropospheric westerlies,5.8,,
2025-06-19,AIWS 20250619.docx,Western Disturbances (WD),,0.0,,
2025-06-19,AIWS 20250619.docx,Cyclonic Circulation (CYCIR),central parts of uttar pradesh & neighbourhood,0.0,,became less marked
2025-06-19,AIWS 20250619.docx,Cyclonic Circulation (CYCIR),"marathwada, coastal",0.0,,
2025-06-20,AIWS 20250620.docx,Well Marked Low Pressure Area (WML),northeast jharkhand & adjoining gangetic west bengal lay over northeast jharkhand & neighbourhood,0.0,,lay over
2025-06-20,AIWS 20250620.docx,Well Marked Low Pressure Area (WML),south bihar & neighbourhood,0.0,,weakened
2025-06-20,AIWS 20250620.docx,Cyclonic Circulation (CYCIR),,0.0,,extended
2025-06-20,AIWS 20250620.docx,Cyclonic Circulation (CYCIR),,0.0,,weakened
2025-06-20,AIWS 20250620.docx,Cyclonic Circulation (CYCIR),northeast rajasthan & neighbourhood,0.0,,persisted
2025-06-20,AIWS 20250620.docx,Cyclonic Circulation (CYCIR),northeast rajasthan & neighbourhood,3.1,,persisted
2025-06-20,AIWS 20250620.docx,Cyclonic Circulation (CYCIR),"northeast rajasthan, north madhya pradesh",0.0,,
2025-06-20,AIWS 20250620.docx,Cyclonic Circulation (CYCIR),"northeast rajasthan & neighbourhood, south uttar pradesh",0.0,,
2025-06-20,AIWS 20250620.docx,Cyclonic Circulation (CYCIR),"northeast rajasthan & neighbourhood, south uttar pradesh",0.0,,
2025-06-20,AIWS 20250620.docx,Cyclonic Circulation (CYCIR),southwest rajasthan,0.0,,became less marked
2025-06-20,AIWS 20250620.docx,Trough,,0.0,,became less marked
2025-06-20,AIWS 20250620.docx,Trough,"marathwada, coastal",0.0,,
2025-06-21,AIWS 20250621.docx,Low Pressure Area,south bihar & neighbourhood lay over southwest bihar & neighbourhood,0.0,,lay over
2025-06-21,AIWS 20250621.docx,Low Pressure Area,south bihar & neighbourhood lay over southwest bihar & neighbourhood,0.0,,persisted
2025-06-21,AIWS 20250621.docx,Cyclonic Circulation (CYCIR),,0.0,,extended
2025-06-21,AIWS 20250621.docx,Cyclonic Circulation (CYCIR),,0.0,,weakened
2025-06-21,AIWS 20250621.docx,Cyclonic Circulation (CYCIR),northeast rajasthan & neighbourhood,0.0,,persisted
2025-06-21,AIWS 20250621.docx,Low Pressure Area,southwest bihar,3.1,,
