weather system,date,heightAboveMSL,Regions,subdivisions
Easterly Trough,19-01-2024,0.9 km,South Interior Karnataka ; North Interior Karnataka ; Marathwada ; Vidarbha,South Interior Karnataka ; North Interior Karnataka ; Marathwada ; Vidarbha
Cyclonic Circulation (CYCIR),19-01-2024,1.5 km,SE Arabian Sea,SE Arabian Sea
Cyclonic Circulation (CYCIR),19-01-2024,1.5 km,Madhya Maharashtra,Madhya Maharashtra
Easterly Trough,20-01-2024,0.9 km,South Interior Karnataka ; Vidarbha ; North Interior Karnataka ; Marathwada,South Interior Karnataka ; Vidarbha ; North Interior Karnataka ; Marathwada
Cyclonic Circulation (CYCIR),20-01-2024,1.5 km,Madhya Maharashtra,Madhya Maharashtra
Cyclonic Circulation (CYCIR),20-01-2024,1.5 km to 3.1 km,"Haryana, Chandigarh & Delhi","Haryana, Chandigarh & Delhi"
Western Disturbances (WD),20-01-2024,5.8 km,North Pakistan ; Ladakh,North Pakistan ; Ladakh
Easterly Trough,21-01-2024,0.9 km,South Interior Karnataka ; Vidarbha ; North Interior Karnataka ; Marathwada,South Interior Karnataka ; Vidarbha ; North Interior Karnataka ; Marathwada
Cyclonic Circulation (CYCIR),21-01-2024,1.5 km,Konkan & Goa,Konkan & Goa
Cyclonic Circulation (CYCIR),21-01-2024,1.5 km,Bangladesh,Bangladesh
Western Disturbances (WD),21-01-2024,5.8 km,Himachal Pradesh ; Ladakh,Himachal Pradesh ; Ladakh
Cyclonic Circulation (CYCIR),22-01-2024,0.9 km,Chhattisgarh,Chhattisgarh
Easterly Trough,22-01-2024,0.9 km,South Interior Karnataka ; North Interior Karnataka ; Telangana ; Vidarbha ; Chhattisgarh,South Interior Karnataka ; North Interior Karnataka ; Telangana ; Vidarbha ; Chhattisgarh
Cyclonic Circulation (CYCIR),22-01-2024,1.5 km,EC Arabian Sea ; Konkan & Goa ; Madhya Maharashtra,EC Arabian Sea ; Konkan & Goa ; Madhya Maharashtra
Cyclonic Circulation (CYCIR),22-01-2024,1.5 km,Bangladesh,Bangladesh
Cyclonic Circulation (CYCIR),23-01-2024,0.9 km,Marathwada ; Vidarbha ; Telangana,Marathwada ; Vidarbha ; Telangana
Cyclonic Circulation (CYCIR),23-01-2024,3.1 km,West Uttar Pradesh,West Uttar Pradesh
Cyclonic Circulation (CYCIR),23-01-2024,3.1 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),24-01-2024,0.9 km,Vidarbha,Vidarbha
Cyclonic Circulation (CYCIR),24-01-2024,3.1 km,West Uttar Pradesh,West Uttar Pradesh
Cyclonic Circulation (CYCIR),24-01-2024,1.5 km,EC Arabian Sea ; Konkan & Goa,EC Arabian Sea ; Konkan & Goa
Trough,24-01-2024,0.9 km,South Interior Karnataka ; North Interior Karnataka ; Vidarbha ; Chhattisgarh ; Odisha,South Interior Karnataka ; North Interior Karnataka ; Vidarbha ; Chhattisgarh ; Odisha
Western Disturbances (WD),25-01-2024,5.8 km,Far West Pakistan ; Southwest Pakistan ; West Pakistan ; North Pakistan ; Central Pakistan,Far West Pakistan ; Southwest Pakistan ; West Pakistan ; North Pakistan ; Central Pakistan
Cyclonic Circulation (CYCIR),25-01-2024,1.5 km,East Rajasthan,East Rajasthan
Cyclonic Circulation (CYCIR),25-01-2024,0.9 km,South Interior Karnataka,South Interior Karnataka
Trough,25-01-2024,0.9 km,South Interior Karnataka ; Odisha ; Telangana,South Interior Karnataka ; Odisha ; Telangana
Western Disturbances (WD),26-01-2024,5.8 km,North Pakistan,North Pakistan
Cyclonic Circulation (CYCIR),26-01-2024,0.9 km,West Rajasthan,West Rajasthan
Trough,26-01-2024,0.9 km,South Interior Karnataka ; Kerala,South Interior Karnataka ; Kerala
Cyclonic Circulation (CYCIR),26-01-2024,1.5 km to 3.1 km,Bangladesh,Bangladesh
Western Disturbances (WD),27-01-2024,5.8 km,North Pakistan,North Pakistan
Western Disturbances (WD),28-01-2024,5.8 km,Far West Pakistan,Far West Pakistan
Western Disturbances (WD),29-01-2024,3.1 km,North pakistan,North pakistan
Westerly Trough,29-01-2024,5.8 km,North Pakistan ; Jammu & Kashmir,North Pakistan ; Jammu & Kashmir
Western Disturbances (WD),29-01-2024,5.8 km,Far West Pakistan,Far West Pakistan
Cyclonic Circulation (CYCIR),29-01-2024,0.9 km,"West Rajasthan ; Punjab ; Haryana, Chandigarh & Delhi","West Rajasthan ; Punjab ; Haryana, Chandigarh & Delhi"
Western Disturbances (WD),30-01-2024,5.8 km,Southwest Pakistan ; West Pakistan ; Central Pakistan ; Far West Pakistan ; South Pakistan,Southwest Pakistan ; West Pakistan ; Central Pakistan ; Far West Pakistan ; South Pakistan
Cyclonic Circulation (CYCIR),30-01-2024,0.9 km,Bihar,Bihar
Cyclonic Circulation (CYCIR),30-01-2024,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Westerly Trough,30-01-2024,5.8 km,Jammu & Kashmir ; Himachal Pradesh ; Ladakh ; North Pakistan,Jammu & Kashmir ; Himachal Pradesh ; Ladakh ; North Pakistan
Western Disturbances (WD),31-01-2024,5.8 km,West Pakistan,West Pakistan
Induced Cyclonic Circulation,31-01-2024,0.9 km,Central Pakistan ; West Rajasthan ; East Rajasthan,Central Pakistan ; West Rajasthan ; East Rajasthan
Cyclonic Circulation (CYCIR),31-01-2024,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),31-01-2024,0.9 km,Bangladesh,Bangladesh
Trough,31-01-2024,0.9 km,Bangladesh ; Odisha ; Gangetic West Bengal,Bangladesh ; Odisha ; Gangetic West Bengal
Western Disturbances (WD),01-02-2024,5.8 km,North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab,North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab
Induced Cyclonic Circulation,01-02-2024,2.1 km,West Rajasthan,West Rajasthan
Cyclonic Circulation (CYCIR),01-02-2024,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Trough,01-02-2024,0.9 km,Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry,Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),02-02-2024,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Trough,02-02-2024,0.9 km,Vidarbha ; South Interior Karnataka ; North Interior Karnataka ; Marathwada,Vidarbha ; South Interior Karnataka ; North Interior Karnataka ; Marathwada
Western Disturbances (WD),02-02-2024,5.8 km,Jammu & Kashmir ; Punjab ; North Pakistan ; Haryana ; Himachal Pradesh,Jammu & Kashmir ; Punjab ; North Pakistan ; Haryana ; Himachal Pradesh
Western Disturbances (WD),03-02-2024,5.8 km,Far West Pakistan ; West Pakistan,Far West Pakistan ; West Pakistan
Induced Cyclonic Circulation,03-02-2024,0.9 km,West Rajasthan ; Pakistan,West Rajasthan ; Pakistan
Western Disturbances (WD),04-02-2024,5.8 km,North Pakistan,North Pakistan
Induced Cyclonic Circulation,04-02-2024,0.9 km,West Rajasthan ; Pakistan,West Rajasthan ; Pakistan
Cyclonic Circulation (CYCIR),04-02-2024,1.5 km,Bangladesh,Bangladesh
Western Disturbances (WD),05-02-2024,3.1 km,North pakistan ; Jammu & Kashmir ; Punjab,North pakistan ; Jammu & Kashmir ; Punjab
Westerly Trough,05-02-2024,5.8 km,North Pakistan ; Jammu & Kashmir,North Pakistan ; Jammu & Kashmir
Cyclonic Circulation (CYCIR),05-02-2024,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Western Disturbances (WD),06-02-2024,3.1 km,North pakistan ; Jammu & Kashmir ; Punjab,North pakistan ; Jammu & Kashmir ; Punjab
Cyclonic Circulation (CYCIR),06-02-2024,0.9 km,Sub-Himalayan West Bengal & Sikkim,Sub-Himalayan West Bengal & Sikkim
Cyclonic Circulation (CYCIR),06-02-2024,0.9 km,East Madhya Pradesh,East Madhya Pradesh
Trough,06-02-2024,0.9 km,East Madhya Pradesh ; North Interior Karnataka ; Vidarbha ; Marathwada,East Madhya Pradesh ; North Interior Karnataka ; Vidarbha ; Marathwada
Western Disturbances (WD),07-02-2024,5.8 km,Central Pakistan ; North Pakistan ; West Pakistan,Central Pakistan ; North Pakistan ; West Pakistan
Cyclonic Circulation (CYCIR),07-02-2024,0.9 km,Vidarbha,Vidarbha
Trough,07-02-2024,0.9 km,Vidarbha ; North Interior Karnataka ; Telangana,Vidarbha ; North Interior Karnataka ; Telangana
Westerly Trough,07-02-2024,1.5 km,Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura,Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura
Westerly Trough,08-02-2024,1.5 km,Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura,Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura
Western Disturbances (WD),08-02-2024,5.8 km,North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab,North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab
Cyclonic Circulation (CYCIR),09-02-2024,1.5 km to 3.1 km,West Uttar Pradesh,West Uttar Pradesh
Cyclonic Circulation (CYCIR),10-02-2024,1.5 km,Gujarat Region,Gujarat Region
Trough,10-02-2024,0.9 km,EC Arabian Sea ; North Interior Karnataka ; Madhya Maharashtra ; Gujarat Region,EC Arabian Sea ; North Interior Karnataka ; Madhya Maharashtra ; Gujarat Region
Cyclonic Circulation (CYCIR),11-02-2024,1.5 km,Gujarat Region,Gujarat Region
Trough,11-02-2024,0.9 km,South Interior Karnataka ; North Interior Karnataka ; Marathwada ; Vidarbha,South Interior Karnataka ; North Interior Karnataka ; Marathwada ; Vidarbha
Cyclonic Circulation (CYCIR),11-02-2024,3.1 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),12-02-2024,1.5 km,Gujarat Region,Gujarat Region
Western Disturbances (WD),12-02-2024,5.8 km,Southwest Pakistan ; Far West Pakistan ; West Pakistan ; South Pakistan,Southwest Pakistan ; Far West Pakistan ; West Pakistan ; South Pakistan
Cyclonic Circulation (CYCIR),12-02-2024,0.9 km,Punjab,Punjab
Cyclonic Circulation (CYCIR),12-02-2024,0.9 km,Marathwada,Marathwada
Cyclonic Circulation (CYCIR),12-02-2024,1.5 km,Vidarbha,Vidarbha
Western Disturbances (WD),13-02-2024,5.8 km,West Pakistan,West Pakistan
Induced Cyclonic Circulation,13-02-2024,1.5 km to 3.1 km,"Haryana, Chandigarh & Delhi","Haryana, Chandigarh & Delhi"
Cyclonic Circulation (CYCIR),13-02-2024,0.9 km,Marathwada,Marathwada
Western Disturbances (WD),14-02-2024,5.8 km,between Lat. 30°N/Long. 82°E and Lat. 24°N/Long. 70°E,Uttarakhand ; West Uttar Pradesh ; East Rajasthan ; West Rajasthan ; Saurashtra & Kutch
Induced Cyclonic Circulation,14-02-2024,3.1 km,West Uttar Pradesh,West Uttar Pradesh
Cyclonic Circulation (CYCIR),14-02-2024,0.9 km,Madhya Maharashtra,Madhya Maharashtra
Trough,14-02-2024,0.9 km,Madhya Maharashtra ; East Uttar Pradesh ; West Madhya Pradesh ; East Madhya Pradesh,Madhya Maharashtra ; East Uttar Pradesh ; West Madhya Pradesh ; East Madhya Pradesh
Western Disturbances (WD),15-02-2024,5.8 km,East Uttar Pradesh ; Bihar ; Jharkhand ; East Madhya Pradesh,East Uttar Pradesh ; Bihar ; Jharkhand ; East Madhya Pradesh
Cyclonic Circulation (CYCIR),15-02-2024,0.9 km,Chhattisgarh,Chhattisgarh
Trough,15-02-2024,0.9 km,North Interior Karnataka ; Telangana ; Vidarbha ; Chhattisgarh,North Interior Karnataka ; Telangana ; Vidarbha ; Chhattisgarh
Cyclonic Circulation (CYCIR),15-02-2024,1.5 km,Bangladesh,Bangladesh
Trough,16-02-2024,0.9 km,North Interior Karnataka ; Chhattisgarh ; Telangana ; Vidarbha,North Interior Karnataka ; Chhattisgarh ; Telangana ; Vidarbha
Cyclonic Circulation (CYCIR),16-02-2024,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Western Disturbances (WD),16-02-2024,5.8 km,Bihar ; Jharkhand ; Sub-Himalayan West Bengal & Sikkim ; East Uttar Pradesh,Bihar ; Jharkhand ; Sub-Himalayan West Bengal & Sikkim ; East Uttar Pradesh
Trough,17-02-2024,0.9 km,Coastal Karnataka ; Konkan & Goa ; Gujrat Region,Coastal Karnataka ; Konkan & Goa ; Gujrat Region
Cyclonic Circulation (CYCIR),17-02-2024,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Westerly Trough,17-02-2024,3.1 km,Assam & Meghalaya ; Arunachal Pradesh,Assam & Meghalaya ; Arunachal Pradesh
Western Disturbances (WD),18-02-2024,5.8 km,Far West Pakistan ; Southwest Pakistan,Far West Pakistan ; Southwest Pakistan
Western Disturbances (WD),18-02-2024,3.1 km,North pakistan,North pakistan
Induced Cyclonic Circulation,18-02-2024,1.5 km,Central Pakistan,Central Pakistan
Westerly Trough,18-02-2024,1.5 km,Assam & Meghalaya ; Arunachal Pradesh,Assam & Meghalaya ; Arunachal Pradesh
Western Disturbances (WD),19-02-2024,5.8 km,West Pakistan,West Pakistan
Western Disturbances (WD),19-02-2024,3.1 km,North pakistan,North pakistan
Induced Cyclonic Circulation,19-02-2024,1.5 km,Central Pakistan,Central Pakistan
Western Disturbances (WD),20-02-2024,3.1 km,Central Pakistan ; Punjab,Central Pakistan ; Punjab
Westerly Trough,20-02-2024,5.8 km,Central Pakistan ; North Pakistan ; West Pakistan,Central Pakistan ; North Pakistan ; West Pakistan
Induced Cyclonic Circulation,20-02-2024,1.5 km,Punjab ; Pakistan,Punjab ; Pakistan
Cyclonic Circulation (CYCIR),20-02-2024,1.5 km,Bangladesh,Bangladesh
Westerly Trough,20-02-2024,3.1 km,Nagaland-Manipur-Mizoram-Tripura ; Assam & Meghalaya ; Arunachal Pradesh ; Bangladesh,Nagaland-Manipur-Mizoram-Tripura ; Assam & Meghalaya ; Arunachal Pradesh ; Bangladesh
Western Disturbances (WD),21-02-2024,3.1 km,Himachal Pradesh ; Ladakh ; Punjab ; Haryana ; Uttarakhand,Himachal Pradesh ; Ladakh ; Punjab ; Haryana ; Uttarakhand
Induced Cyclonic Circulation,21-02-2024,1.5 km,West Uttar Pradesh,West Uttar Pradesh
Cyclonic Circulation (CYCIR),21-02-2024,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Trough,21-02-2024,0.9 km,East Madhya Pradesh ; Tamil Nadu & Puducherry ; Vidarbha ; Telangana ; Rayalaseema,East Madhya Pradesh ; Tamil Nadu & Puducherry ; Vidarbha ; Telangana ; Rayalaseema
Western Disturbances (WD),22-02-2024,5.8 km,North Pakistan,North Pakistan
Trough,22-02-2024,0.9 km,Marathwada ; Tamil Nadu & Puducherry ; South Interior Karnataka ; North Interior Karnataka ; Coastal Karnataka,Marathwada ; Tamil Nadu & Puducherry ; South Interior Karnataka ; North Interior Karnataka ; Coastal Karnataka
Cyclonic Circulation (CYCIR),22-02-2024,0.9 km,Chhattisgarh,Chhattisgarh
Western Disturbances (WD),23-02-2024,5.8 km,West Pakistan ; North Pakistan ; Central Pakistan,West Pakistan ; North Pakistan ; Central Pakistan
Cyclonic Circulation (CYCIR),23-02-2024,1.5 km,Telangana,Telangana
Trough,23-02-2024,0.9 km,Telangana ; Tamil Nadu & Puducherry ; Rayalaseema,Telangana ; Tamil Nadu & Puducherry ; Rayalaseema
Cyclonic Circulation (CYCIR),23-02-2024,0.9 km,Chhattisgarh,Chhattisgarh
Western Disturbances (WD),23-02-2024,5.8 km,Jammu & Kashmir ; Himachal Pradesh ; Ladakh ; North Pakistan,Jammu & Kashmir ; Himachal Pradesh ; Ladakh ; North Pakistan
Western Disturbances (WD),24-02-2024,5.8 km,North Pakistan ; Jammu & Kashmir,North Pakistan ; Jammu & Kashmir
Cyclonic Circulation (CYCIR),24-02-2024,1.5 km,West Rajasthan ; East Rajasthan,West Rajasthan ; East Rajasthan
Cyclonic Circulation (CYCIR),24-02-2024,0.9 km,Marathwada,Marathwada
Trough,24-02-2024,0.9 km,Marathwada ; Tamil Nadu & Puducherry ; North Interior Karnataka ; South Interior Karnataka,Marathwada ; Tamil Nadu & Puducherry ; North Interior Karnataka ; South Interior Karnataka
Trough,24-02-2024,0.9 km,Marathwada ; Coastal Andhra Pradesh ; Vidarbha ; Chhattisgarh,Marathwada ; Coastal Andhra Pradesh ; Vidarbha ; Chhattisgarh
Western Disturbances (WD),25-02-2024,5.8 km,East Uttar Pradesh ; Bihar,East Uttar Pradesh ; Bihar
Trough,25-02-2024,0.9 km,Chhattisgarh ; Vidarbha ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry,Chhattisgarh ; Vidarbha ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry
Trough,25-02-2024,3.1 km,Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura ; Arunachal Pradesh,Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura ; Arunachal Pradesh
Western Disturbances (WD),26-02-2024,5.8 km,Far West Pakistan ; Southwest Pakistan,Far West Pakistan ; Southwest Pakistan
Cyclonic Circulation (CYCIR),26-02-2024,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Trough,26-02-2024,0.9 km,North Interior Karnataka ; Kerala ; South Interior Karnataka,North Interior Karnataka ; Kerala ; South Interior Karnataka
Trough,26-02-2024,1.5 km,EC Arabian Sea ; NE Arabian Sea ; West Madhya Pradesh ; Gujarat Region,EC Arabian Sea ; NE Arabian Sea ; West Madhya Pradesh ; Gujarat Region
Western Disturbances (WD),27-02-2024,5.8 km,Far West Pakistan ; Southwest Pakistan,Far West Pakistan ; Southwest Pakistan
Cyclonic Circulation (CYCIR),27-02-2024,1.5 km,Bangladesh,Bangladesh
Trough,27-02-2024,1.5 km,Bihar ; Bangladesh,Bihar ; Bangladesh
Trough,27-02-2024,0.9 km,NE Arabian Sea ; East Rajasthan ; Gujarat Region,NE Arabian Sea ; East Rajasthan ; Gujarat Region
Cyclonic Circulation (CYCIR),27-02-2024,3.1 km,"Haryana, Chandigarh & Delhi","Haryana, Chandigarh & Delhi"
Trough,27-02-2024,0.9 km,South Interior Karnataka ; Madhya Maharashtra ; Konkan & Goa,South Interior Karnataka ; Madhya Maharashtra ; Konkan & Goa
Trough,23-03-2024,1.5 km,Kerala ; Vidarbha,Kerala ; Vidarbha
Cyclonic Circulation (CYCIR),23-03-2024,1.5 km,Assam & Meghalaya,Assam & Meghalaya
Trough,23-03-2024,3.1 km to 4.5 km,Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura ; Arunachal Pradesh,Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura ; Arunachal Pradesh
Western Disturbances (WD),23-03-2024,5.8 km,North Pakistan ; Jammu & Kashmir,North Pakistan ; Jammu & Kashmir
